referenceFournisseur,constructeur,slug,categoryId,status,isFeatured,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,imageUrl,secondaryImageUrl1,secondaryImageUrl2,secondaryImageUrl3,pdfBrochureUrl
18089,MORIA,arneodo-crozafon-manipulator-hook-double-ended-for,ophthalmology-surgical,active,,"Arneodo-Crozafon Manipulator & Hook(double-ended, for soft and hard nucleus)","Arneodo-Crozafon Manipulator & Hook(double-ended, for soft and hard nucleus)","Angled, 13-mm active parts:one pointe being thin, curved and blunt,the second active part being strong and spatulated.peut être utilisé pour hold and divide thecrystalline lensduringcataract surgery.","Angled, 13-mm active parts:one tip being thin, curved and blunt,the second active part being strong and spatulated.Can be used to hold and divide thecrystalline lensduringcataract surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 111 mm; TipOne tip: 13-mm, thin, curved, bluntOther tip: 13-mm, strong, spatulated; Instrument base shape: Knurled; Intended use: To manipulate and divide the nucleus during cataract surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 111 mm; TipOne tip: 13-mm, thin, curved, bluntOther tip: 13-mm, strong, spatulated; Instrument base shape: Knurled; Intended use: To manipulate and divide the nucleus during cataract surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/f64bca3da0203323d8774cfe301b8ab233af0c74.jpg,,,,
13010,MORIA,hugonnier-gobin-hook-very-delicate-13010,ophthalmology-surgical,active,,Hugonnier-Gobin hook(Very delicate),Hugonnier-Gobin hook(Very delicate),"Hugonnier-Gobin strabismus hook. Ultra thin, for small obliques.","Hugonnier-Gobin strabismus hook. Ultra thin, for small obliques.",,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/7d26ff2ca1a407e499a81911a7a37cb05fbd5b02.jpg,,,,
3225,MORIA,burrato-sinskey-manipulator-hook-angled-active-par,ophthalmology-surgical,active,,Burrato-Sinskey Manipulator Hook(angled active part with a 0.7-mm angled tip),Burrato-Sinskey Manipulator Hook(angled active part with a 0.7-mm angled tip),"12.1-cm longueur totale with an angled, active part with collar button olive pointe.peut être utilisé pour implant, position, rotate and manipulate an intraocular lens (IOL)in the anterior or posterior chamber without damaging it.","12.1-cm total length with an angled, active part with collar button olive tip.Can be used to implant, position, rotate and manipulate an intraocular lens (IOL)in the anterior or posterior chamber without damaging it.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 121 mm; Tip: Blunt, 0.7 mm, angled; Instrument base shape: Knurled; Intended use: To implant, position, rotate and manipulate an intraocular lens (IOL) in the anterior or posterior chamber.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 121 mm; Tip: Blunt, 0.7 mm, angled; Instrument base shape: Knurled; Intended use: To implant, position, rotate and manipulate an intraocular lens (IOL) in the anterior or posterior chamber.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/95d8cc27dd0d079e0296069df0cbb4352bca5acf.jpg,,,,
13227,MORIA,lester-manipulator-button-tip-13227,ophthalmology-surgical,active,,Lester Manipulator(button tip),Lester Manipulator(button tip),"11.7-cm longueur totale with an angled, active part with collar button olive pointe.peut être utilisé pour implant, position, rotate and manipulate an intraocular lens(IOL)in the anterior or posterior chamber without damaging it.","11.7-cm total length with an angled, active part with collar button olive tip.Can be used to implant, position, rotate and manipulate an intraocular lens(IOL)in the anterior or posterior chamber without damaging it.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 117 mm; Tip: Blunt, collar button olive tip; Instrument base shape: Knurled; Intended use: To implant, position, rotate and manipulate an intraocular lens (IOL) in the anterior or posterior chamber without damaging it.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 117 mm; Tip: Blunt, collar button olive tip; Instrument base shape: Knurled; Intended use: To implant, position, rotate and manipulate an intraocular lens (IOL) in the anterior or posterior chamber without damaging it.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/6096697cb2def834e335251fad42578c9cdd3db4.jpg,,,,
17157,MORIA,crozafon-manipulating-hook-fork-shaped-tip-17157,ophthalmology-surgical,active,,Crozafon Manipulating Hook(fork-shaped tip),Crozafon Manipulating Hook(fork-shaped tip),"11-cm longueur totale, angled active part with a fork of 0.6-mm length and 0.15-mm width.peut être utilisé pour hold and divide thecrystalline lensduringcataractsurgery.","11-cm total length, angled active part with a fork of 0.6-mm length and 0.15-mm width.Can be used to hold and divide thecrystalline lensduringcataractsurgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 110 mm; Tip: Blunt, fork-shaped, 0.6-mm length, 0.15-mm width; Instrument base shape: Knurled; Intended use: To hold and divide the nucleus during cataract surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 110 mm; Tip: Blunt, fork-shaped, 0.6-mm length, 0.15-mm width; Instrument base shape: Knurled; Intended use: To hold and divide the nucleus during cataract surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/8def7316b6b0da649f33480378db1e7d1566356d.jpg,,,,
17159,MORIA,lebuisson-manipulator-bulbous-tip-17159,ophthalmology-surgical,active,,Lebuisson Manipulator(bulbous tip),Lebuisson Manipulator(bulbous tip),"11.1-cm longueur totale, angled, 9-mm active part with an olive pointe.peut être utilisé pour hold and separate thecrystalline lensduringcataractsurgery.","11.1-cm total length, angled, 9-mm active part with an olive tip.Can be used to hold and separate thecrystalline lensduringcataractsurgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 111 mm; Tip: Blunt, bulbous; Instrument base shape: Knurled; Intended use: To hold and separate the crystalline lens during cataract surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 111 mm; Tip: Blunt, bulbous; Instrument base shape: Knurled; Intended use: To hold and separate the crystalline lens during cataract surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/f78a9bad1b3dbc28dc0f29da0f2a5ceb19f33116.jpg,,,,
18039,MORIA,arneodo-manipulator-rounded-blunt-tip-18039,ophthalmology-surgical,active,,Arneodo Manipulator(rounded émoussé tip),Arneodo Manipulator(rounded blunt tip),"11-cm longueur totale, angled, 13-mm long active part with a rounded blunt pointe.peut être utilisé pour manipulate thenucleusduringcataractsurgery.","11-cm total length, angled, 13-mm long active part with a rounded blunt tip.Can be used to manipulate thenucleusduringcataractsurgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 111 mm; Tip: Round, blunt, 13 mm; Instrument base shape: Knurled; Intended use: To manipulate the nucleus during cataract surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 111 mm; Tip: Round, blunt, 13 mm; Instrument base shape: Knurled; Intended use: To manipulate the nucleus during cataract surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/ebcb05d8cd48ccd73f231b30d5968518f3e82ebe.jpg,,,,
18104,MORIA,halsted-forceps-droite-dents-18104,ophthalmology-surgical,active,,Halsted pinces(Droite à dents),Halsted Forceps(Droite à dents),Pince de Halsted droite à dents,Pince de Halsted droite à dents,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/a3fa7d5ce39d0ec2fedc929d05aa814fbab11173.jpg,,,,
1141,MORIA,hook-medium-size-12-mm-curved-active-part-1141,ophthalmology-surgical,active,,"Hook, medium size(12-mm courbe active part)","Hook, medium size(12-mm curved active part)","longueur totale is 13.6 cm, with a 12-mm curved active part 12 x 1.9 mm.Can be used duringstrabismussurgery.","Total length is 13.6 cm, with a 12-mm curved active part 12 x 1.9 mm.Can be used duringstrabismussurgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 136 mm; Tip: 12-mm, curved; Intended use: Hook for strabismus surgery","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 136 mm; Tip: 12-mm, curved; Intended use: Hook for strabismus surgery",https://www.moria-surgical.com/media/cache/product_viewer/files/product/995a92567b4be4423562b04cb9e5702015113e2c.jpg,,,,
18112,MORIA,manipulator-hook-finger-shaped-18112,ophthalmology-surgical,active,,Manipulator Hook(finger-shaped),Manipulator Hook(finger-shaped),"11.5-cm longueur totale. Angled curved pointe, with an active part in the shape of a 1.5-mm long finger.peut être utilisé pour hold and divide thecrystalline lensduringcataractsurgery.","11.5-cm total length. Angled curved tip, with an active part in the shape of a 1.5-mm long finger.Can be used to hold and divide thecrystalline lensduringcataractsurgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 115 mm; Tip: Blunt, 1.5-mm, finger-shaped; Instrument base shape: Knurled; Intended use: To hold and divide the crystalline lens during cataract surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 115 mm; Tip: Blunt, 1.5-mm, finger-shaped; Instrument base shape: Knurled; Intended use: To hold and divide the crystalline lens during cataract surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/e33ae5fa562d4ee849c08cd8f0f1f39ced05df07.jpg,,,,
18210,MORIA,stop-chop-manipulator-stop-chop-18210,ophthalmology-surgical,active,,Stop & Chop Manipulator(stop & chop),Stop & Chop Manipulator(stop & chop),"12.2-cm longueur totale, with an active part presenting a double angulation and a 1.5-mm blunt triangular pointe.peut être utilisé pour hold and divide thecrystalline lensduring phacoemulsification duringcataractsurgery.","12.2-cm total length, with an active part presenting a double angulation and a 1.5-mm blunt triangular tip.Can be used to hold and divide thecrystalline lensduring phacoemulsification duringcataractsurgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 122 mm; Tip: Blunt, triangular tip; Instrument base shape: Knurled; Intended use: To hold and divide the nucleus during phacoemulsification during cataract surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 122 mm; Tip: Blunt, triangular tip; Instrument base shape: Knurled; Intended use: To hold and divide the nucleus during phacoemulsification during cataract surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/ecb9f64c97ed996599690be06f8e489eef7599b9.jpg,,,,
18227,MORIA,haefliger-phaco-cleaver-for-right-handed-user-hold,ophthalmology-surgical,active,,"Haefliger Phaco-Cleaver(for right-handed user, holding instrument in left hand.)","Haefliger Phaco-Cleaver(for right-handed user, holding instrument in left hand.)","longueur totale 11.4cm, active part with blunt edges of 0.8-mm and width 0.7-mm for hard and soft nucleus, angulation at 45°.peut être utilisé pour hold and separate thenucleusduringcataractsurgery.","Total length 11.4cm, active part with blunt edges of 0.8-mm and width 0.7-mm for hard and soft nucleus, angulation at 45°.Can be used to hold and separate thenucleusduringcataractsurgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 114 mm; Tip: 45° angled, blunt edges of 0.8-mm and width 0.7-mm; Other characteristics: For right-handed user, holding instrument in left hand; Instrument base shape: Bird cage handle; Intended use: To hold and separate the nucleus during cataract surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 114 mm; Tip: 45° angled, blunt edges of 0.8-mm and width 0.7-mm; Other characteristics: For right-handed user, holding instrument in left hand; Instrument base shape: Bird cage handle; Intended use: To hold and separate the nucleus during cataract surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/960c5cdc77a54b30f7a121c587789c7aefd9130e.jpg,,,,
18228,MORIA,haefliger-phaco-cleaver-for-left-handed-user-holdi,ophthalmology-surgical,active,,"Haefliger Phaco-Cleaver(for left-handed user, holding instrument in right hand)","Haefliger Phaco-Cleaver(for left-handed user, holding instrument in right hand)","longueur totale 11.4-cm, active part with blunt edges of 0.8 mm and width 0.7-mm for hard and soft nucleus, angulation at 45°.peut être utilisé pour hold and separate thenucleusduringcataractsurgery.","Total length 11.4-cm, active part with blunt edges of 0.8 mm and width 0.7-mm for hard and soft nucleus, angulation at 45°.Can be used to hold and separate thenucleusduringcataractsurgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 114 mm; Tip: 45° angled, blunt edges of 0.8-mm and width 0.7-mm; Other characteristics: For left-handed user, holding instrument in right hand; Instrument base shape: Bird cage handle; Intended use: To hold and separate the nucleus during cataract surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 114 mm; Tip: 45° angled, blunt edges of 0.8-mm and width 0.7-mm; Other characteristics: For left-handed user, holding instrument in right hand; Instrument base shape: Bird cage handle; Intended use: To hold and separate the nucleus during cataract surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/f41b4ef7746063a7ad067e2414d7ec36e3aa888f.jpg,,,,
19000,MORIA,diabolo-manipulator-hook-bulbous-micro-collar-butt,ophthalmology-surgical,active,,Diabolo Manipulator Hook(bulbous micro-collar button tip),Diabolo Manipulator Hook(bulbous micro-collar button tip),"14-cm longueur totale with an angled, active part with abulbousmicro-collar button pointe.peut être utilisé pour hold and divide thecrystalline lensduringcataractsurgery.","14-cm total length with an angled, active part with abulbousmicro-collar button tip.Can be used to hold and divide thecrystalline lensduringcataractsurgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 140 mm; Tip: Blunt, bulbous micro-collar button tip; Instrument base shape: Knurled; Intended use: To hold and separating the nucleus during cataract surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 140 mm; Tip: Blunt, bulbous micro-collar button tip; Instrument base shape: Knurled; Intended use: To hold and separating the nucleus during cataract surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/4dafc7816bf0e76b85c12611e83a97c839f4c514.jpg,,,,
19091,MORIA,price-hook-for-dsaek-dmek-19091,ophthalmology-surgical,active,,"Price Hook(for DSAEK, DMEK)","Price Hook(for DSAEK, DMEK)","Reverse Sinskey with a longueur totale of 11.7 cm and a 0.7-mm active pointe.Can be used for the rhexis of the Descemet membrane during endothelial keratoplasty (DSAEK,DMEK).","Reverse Sinskey with a total length of 11.7 cm and a 0.7-mm active tip.Can be used for the rhexis of the Descemet membrane during endothelial keratoplasty (DSAEK,DMEK).","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 117-mm; Tip: Angled, reverse Sinskey; Intended use: To realize the rhexis of the Descemet membrane during endothelial keratoplasty (DSAEK, DMEK)","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 117-mm; Tip: Angled, reverse Sinskey; Intended use: To realize the rhexis of the Descemet membrane during endothelial keratoplasty (DSAEK, DMEK)",https://www.moria-surgical.com/media/cache/product_viewer/files/product/e96aa3ab7309f9c8620664d24b830cd35c590c1a.jpg,,,,
8063,MORIA,gass-rouchy-hook-holed-tip-8063,ophthalmology-surgical,active,,Gass-Rouchy Hook(holed-tip),Gass-Rouchy Hook(holed-tip),Fixationhookwith a 1-mm hole diameter on the active part to pass the sutures through the muscles duringstrabismussurgery.,Fixationhookwith a 1-mm hole diameter on the active part to pass the sutures through the muscles duringstrabismussurgery.,"Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 132 mm; Tip: Curved, 1-mm hole diameter; Intended use: Hook To pass the sutures through the muscles during strabismus surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 132 mm; Tip: Curved, 1-mm hole diameter; Intended use: Hook To pass the sutures through the muscles during strabismus surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/4e1be55cb0cc07f9f8b4eeb13799a78d9546de1e.jpg,,,,
19097,MORIA,gorovoy-dso-forceps-for-descemetorhexis-19097,ophthalmology-surgical,active,,Gorovoy DSO pinces(for descemetorhexis),Gorovoy DSO Forceps(for descemetorhexis),"Inverted Utrata shaped with blunt pointe, 11.7-cm long.peut être utilisé pour peel endothelium on patient’s cornea.","Inverted Utrata shaped with blunt tip, 11.7-cm long.Can be used to peel endothelium on patient’s cornea.",Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 117 mm; Tip: Angled tip on the up side; Handle: Bird cage; Intended use: Forceps to peel endothelium on patient’s cornea,Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 117 mm; Tip: Angled tip on the up side; Handle: Bird cage; Intended use: Forceps to peel endothelium on patient’s cornea,https://www.moria-surgical.com/media/cache/product_viewer/files/product/51f8964066b668e86e2f3441e6dc9e607f1a07ea.jpg,,,,
22518355,MORIA,sterilization-box-in-stainless-steel-22518355,ophthalmology-surgical,active,,Sterilization box(In acier inoxydable),Sterilization box(In stainless steel),Non-colored acier inoxydable sterilization box for storing and / or sterilizing with autoclave in safety of the instruments placed inside with lock. Spiked plate provided. Box dimensions: 315 x 209 x 24mm.,Non-colored stainless steel sterilization box for storing and / or sterilizing with autoclave in safety of the instruments placed inside with lock. Spiked plate provided. Box dimensions: 315 x 209 x 24mm.,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/0803adac735feb71c30a7eae05522d180555f02e.jpg,,,,
20222X1,MORIA,composites-23g-capsulorhexis-forceps-short-1-5-mm-,ophthalmology-surgical,active,,"Composites 23G Capsulorhexis pinces - Short(1.5-mm incision, 23G)","Composites 23G Capsulorhexis Forceps - Short(1.5-mm incision, 23G)",23Gdistal-commandréutilisablecapsulorhexis forcepswithcurved active partand ≈90°pointed pointe to produce the rhexis into the anterior capsular bag through an incision of1.5-mm.,23Gdistal-commandreusablecapsulorhexis forcepswithcurved active partand ≈90°pointed tip to produce the rhexis into the anterior capsular bag through an incision of1.5-mm.,"Reusability: Yes; Packaging: X1; Material*Active part: stainless steelHandle : composite; SizeTotal length: 126 mm; Tip: 0.3-mm teeth size, Pointed, ≈ 90°; Other characteristics: distal, laser graduation; Instrument base shape: Rounded handle; Intended use: Intended to perform the rhexis of the capsular bag through a 1.5-mm incision","Reusability: Yes; Packaging: X1; Material*Active part: stainless steelHandle : composite; SizeTotal length: 126 mm; Tip: 0.3-mm teeth size, Pointed, ≈ 90°; Other characteristics: distal, laser graduation; Instrument base shape: Rounded handle; Intended use: Intended to perform the rhexis of the capsular bag through a 1.5-mm incision",https://www.moria-surgical.com/media/cache/product_viewer/files/product/ba13e9947bd3d18627d0a9d9fc3887d6a538c8e5.jpg,,,,
13245,MORIA,mac-pherson-moria-forceps-0-2-mm-teeth-with-platfo,ophthalmology-surgical,active,,"Mac Pherson-Moria pinces(0.2-mm dents with plateformes, angled)","Mac Pherson-Moria Forceps(0.2-mm teeth with platforms, angled)","réutilisableMac Pherson-Moria forceps,angled, with0.2-mm teethandplatforms, withclaws. peut être utilisé pour hold the eye pendant la chirurgie ophtalmique.","ReusableMac Pherson-Moria forceps,angled, with0.2-mm teethandplatforms, withclaws. Can be used to hold the eye during ophthalmic surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 11.8 cm; Tip: 0.2-mm teeth, with claws, angled; Handle: Bird cage design; Intended use: To hold the eye during ophthalmic surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 11.8 cm; Tip: 0.2-mm teeth, with claws, angled; Handle: Bird cage design; Intended use: To hold the eye during ophthalmic surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/00a7d93095d405ec8f5d09675c0dc1abea40a1d7.jpg,,,,
M1815S,MORIA,mac-pherson-forceps-4-mm-platforms-straight-jaws-m,ophthalmology-surgical,active,,"Mac Pherson pinces(4-mm plateformes, droit jaws)","Mac Pherson Forceps(4-mm platforms, straight jaws)","Mac Phersonholding forceps with a flat serrated manche, active pointe with 4-mmplatformsandstraightjaws, and 8.6-cm length.peut être utilisé pour hold the threads duringsutures.","Mac Phersonholding forceps with a flat serrated handle, active tip with 4-mmplatformsandstraightjaws, and 8.6-cm length.Can be used to hold the threads duringsutures.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 83,6 mm; Tip: 4,2-mm platforms, straight jaws; Handle: Flat, serrated; Intended use: To hold the suture wire.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 83,6 mm; Tip: 4,2-mm platforms, straight jaws; Handle: Flat, serrated; Intended use: To hold the suture wire.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/ab2afe8596efd25e22ae138f874a173b82d7a8d4.jpg,,,,
M1815A,MORIA,kelman-mac-pherson-forceps-7-mm-platforms-angled-j,ophthalmology-surgical,active,,"Kelman-Mac Pherson pinces(7-mm plateformes, angled jaws)","Kelman-Mac Pherson Forceps(7-mm platforms, angled jaws)","Kelman-Mac Phersonholding forceps with a flat serrated manche, active pointe with 7-mmplatformsandangledjaws, and 8.2-cm length.peut être utilisé pour hold the threads duringsutures.","Kelman-Mac Phersonholding forceps with a flat serrated handle, active tip with 7-mmplatformsandangledjaws, and 8.2-cm length.Can be used to hold the threads duringsutures.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 82 mm; Tip: 7-mm platforms, angled jaws; Handle: Flat, serrated; Intended use: To hold the suture wire.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 82 mm; Tip: 7-mm platforms, angled jaws; Handle: Flat, serrated; Intended use: To hold the suture wire.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/493b4068d61c768a2238a22f168a65e763dd3324.jpg,,,,
2280A,MORIA,lester-forceps-1-1-mm-teeth-2280a,ophthalmology-surgical,active,,Lester pinces(1.1-mm dents),Lester Forceps(1.1-mm teeth),"réutilisableLesterconjunctival forceps with 1.1-mm teeth and 11.1-cm length.peut être utilisé pour seize, rotate or manipulate the eyeball without damaging the tissues, to manipulate the sclera, to fix the limb, to remove the iris, to lift theconjunctivaand the Tenon facia.","ReusableLesterconjunctival forceps with 1.1-mm teeth and 11.1-cm length.Can be used to seize, rotate or manipulate the eyeball without damaging the tissues, to manipulate the sclera, to fix the limb, to remove the iris, to lift theconjunctivaand the Tenon facia.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 11.1 cm; Tip: 1.1-mm teeth; Handle: Flat; Intended use: To grasp, rotate or manipulate the globe without damaging any tissue.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 11.1 cm; Tip: 1.1-mm teeth; Handle: Flat; Intended use: To grasp, rotate or manipulate the globe without damaging any tissue.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/e4cc0ab445ef1f7a1899237cdaa84266a5641840.jpg,,,,
9965,MORIA,remky-polak-forceps-3-0-mm-angled-teeth-9965,ophthalmology-surgical,active,,Remky-Polak pinces(3.0-mm angled dents),Remky-Polak Forceps(3.0-mm angled teeth),réutilisable FixationRemky-PolakForceps with 3.0-mm angled teeth and 9.0-cm length.,Reusable FixationRemky-PolakForceps with 3.0-mm angled teeth and 9.0-cm length.,"Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 9.0 cm; Tip: 3.0-mm angled teeth; Handle: Flat, serrated; Intended use: To grasp, rotate or manipulate the globe without damaging any tissue.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 9.0 cm; Tip: 3.0-mm angled teeth; Handle: Flat, serrated; Intended use: To grasp, rotate or manipulate the globe without damaging any tissue.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/ab2c26fa7186590c3e60d45cdc15c32c60be2f0c.jpg,,,,
20221X1,MORIA,composites-23g-capsulorhexis-forceps-long-1-5-mm-i,ophthalmology-surgical,active,,"Composites 23G Capsulorhexis pinces – Long(1.5-mm incision, 23G)","Composites 23G Capsulorhexis Forceps – Long(1.5-mm incision, 23G)",23Gdistal-commandréutilisablecapsulorhexis forcepswithcurved active partand ≈90°pointed pointe to produce rhexis of the anterior capsular bag through a 1.5-mm incision.,23Gdistal-commandreusablecapsulorhexis forcepswithcurved active partand ≈90°pointed tip to produce rhexis of the anterior capsular bag through a 1.5-mm incision.,"Reusability: Yes; Packaging: X1; Material*Active part: stainless steelHandle : composite; SizeTotal length: 136 mm; Tip: 0.3-mm teeth size, Pointed, ≈ 90°; Other characteristics: distal, laser graduation; Instrument base shape: Rounded handle; Intended use: Intended to perform the rhexis of the capsular bag through a 1.5-mm incision","Reusability: Yes; Packaging: X1; Material*Active part: stainless steelHandle : composite; SizeTotal length: 136 mm; Tip: 0.3-mm teeth size, Pointed, ≈ 90°; Other characteristics: distal, laser graduation; Instrument base shape: Rounded handle; Intended use: Intended to perform the rhexis of the capsular bag through a 1.5-mm incision",https://www.moria-surgical.com/media/cache/product_viewer/files/product/c702d1ce60fbedd46f622d4652e03d73dade38e0.jpg,,,,
M2002,MORIA,corydon-forceps-1-8-mm-1-8-mm-incision-m2002,ophthalmology-surgical,active,,Corydon pinces - 1.8 mm(1.8-mm incision),Corydon Forceps - 1.8 mm(1.8-mm incision),réutilisable capsulorhexis forceps  withstraight active partand ≈90°pointed pointe to produce the rhexis of the anterior capsular bag through a1.8-mmincision.,Reusable capsulorhexis forceps  withstraight active partand ≈90°pointed tip to produce the rhexis of the anterior capsular bag through a1.8-mmincision.,"Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 86 mm; Tip: Pointed, ≈90°; Other characteristics: Straight active part; Instrument base shape: Serrated handle; Intended use: Intended to perform the rhexis of the capsular bag through a 1.8-mm incision","Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 86 mm; Tip: Pointed, ≈90°; Other characteristics: Straight active part; Instrument base shape: Serrated handle; Intended use: Intended to perform the rhexis of the capsular bag through a 1.8-mm incision",https://www.moria-surgical.com/media/cache/product_viewer/files/product/f09251271391e2ebc658064b3e7c4fd0b1d1056e.jpg,,,,
20039,MORIA,dmek-forceps-straight-20039,ophthalmology-surgical,active,,DMEK pinces(droit),DMEK Forceps(straight),Active part with smooth andstraight10.0-mmplatforms.Forceps that peut être utilisé pour delaminate the endothelium from a donor corneo-scleral tissue.,Active part with smooth andstraight10.0-mmplatforms.Forceps that can be used to delaminate the endothelium from a donor corneo-scleral tissue.,Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 122 mm; Tip: Straight with 10-mm platforms; Handle: Bird cage; Intended use: To delaminate the endothelium from a donor corneo-scleral tissue.,Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 122 mm; Tip: Straight with 10-mm platforms; Handle: Bird cage; Intended use: To delaminate the endothelium from a donor corneo-scleral tissue.,https://www.moria-surgical.com/media/cache/product_viewer/files/product/d03a6280da96a928771174882974f4ad6885b33e.jpg,,,,
M2002,MORIA,corydon-forceps-1-8-mm-1-8-mm-incision-m2002,ophthalmology-surgical,active,,Corydon pinces - 1.8 mm(1.8-mm incision),Corydon Forceps - 1.8 mm(1.8-mm incision),réutilisable capsulorhexis forceps  withstraight active partand ≈90°pointed pointe to produce the rhexis of the anterior capsular bag through a1.8-mmincision.,Reusable capsulorhexis forceps  withstraight active partand ≈90°pointed tip to produce the rhexis of the anterior capsular bag through a1.8-mmincision.,"Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 86 mm; Tip: Pointed, ≈90°; Other characteristics: Straight active part; Instrument base shape: Serrated handle; Intended use: Intended to perform the rhexis of the capsular bag through a 1.8-mm incision","Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 86 mm; Tip: Pointed, ≈90°; Other characteristics: Straight active part; Instrument base shape: Serrated handle; Intended use: Intended to perform the rhexis of the capsular bag through a 1.8-mm incision",https://www.moria-surgical.com/media/cache/product_viewer/files/product/f09251271391e2ebc658064b3e7c4fd0b1d1056e.jpg,,,,
