Ref Fournisseur,Nom Produit (FR),Nom Produit (EN),Fabricant,Discipline (Parent),Categorie,Category ID,Statut
2417-P-2000,Tonometre Sans Contact de Bureau Pulsair,Pulsair Desktop Non-Contact Tonometer,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2417-P-5021,Embouts AccuTip Emballes Individuellement 300,AccuTip Covers Individually Wrapped 300,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2417-P-7011,Tonomètre Sans Contact Pulsair Keeler,Keeler Pulsair Non-Contact Tonometer,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2417-P-7025,Instrument KEELER,KEELER Instrument,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2417-P-7026,Tonomètre Sans Contact Pulsair Keeler,Keeler Pulsair Non-Contact Tonometer,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2417-P-7028,Tonomètre Sans Contact Pulsair Keeler,Keeler Pulsair Non-Contact Tonometer,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2417-P-7029,Tonomètre Sans Contact Pulsair Keeler,Keeler Pulsair Non-Contact Tonometer,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2417-P-7030,Tonomètre Sans Contact Pulsair Keeler,Keeler Pulsair Non-Contact Tonometer,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2417-P-7031,Tonomètre Sans Contact Pulsair Keeler,Keeler Pulsair Non-Contact Tonometer,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2417-P-7032,Tonomètre à Aplanation,Applanation Tonometer,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2417-P-7033,Tonomètre Sans Contact Pulsair Keeler,Keeler Pulsair Non-Contact Tonometer,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2417-P-7034,Instrument KEELER,KEELER Instrument,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2417-P-7035,Instrument KEELER,KEELER Instrument,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2417-P-7036,Tonomètre Sans Contact Pulsair Keeler,Keeler Pulsair Non-Contact Tonometer,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2417-P-7037,Instrument KEELER,KEELER Instrument,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2417-P-7238,Tonomètre Sans Contact Pulsair Keeler,Keeler Pulsair Non-Contact Tonometer,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2418-P-2000,Tonometre Sans Contact Sans Fil TonoCare 2.0,TonoCare 2.0 Wireless Non-Contact Tonometer,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2508-P-7005,Chariot Cryogenique,Cryogenic Cart,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2508-P-7015,Instrument KEELER,KEELER Instrument,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2508-P-7016,Instrument KEELER,KEELER Instrument,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2508-P-7017,Instrument KEELER,KEELER Instrument,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2508-P-7018,Instrument KEELER,KEELER Instrument,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2509-P-1010,Console Cryochirurgicale Cryomatic MK II,Cryomatic MK II Cryosurgical Console,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2509-P-8007,Instrument KEELER,KEELER Instrument,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2509-P-8008,Instrument KEELER,KEELER Instrument,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2509-P-8015,Instrument KEELER,KEELER Instrument,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2509-P-8020,Crayon Retinien Standard Cryo II,Cryo II Standard Retinal Pencil,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2509-P-8021,Crayon Retinien Etendu Cryo II,Cryo II Extended Retinal Pencil,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2509-P-8022,Crayon Retinien Mid-Reach Cryo II,Cryo II Mid-Reach Retinal Pencil,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2509-P-8023,Crayon Intravitreen Cryo II,Cryo II Intravitreal Pencil,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2509-P-8024,Crayon Cataracte Courbe Cryo II,Cryo II Curved Cataract Pencil,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2509-P-8025,Crayon Glaucome Cryo II,Cryo II Glaucoma Pencil,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2509-P-8026,Crayon Trichiasis Collins Cryo II,Cryo II Collins Trichiasis Pencil,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2509-P-8027,Instrument KEELER,KEELER Instrument,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2509-P-8028,Instrument KEELER,KEELER Instrument,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2509-P-8030,Instrument KEELER,KEELER Instrument,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2509-P-8033,Adaptateur Sonde Usage Unique Dorc Cryostar,Dorc Cryostar Single-Use Probe Adaptor,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2903-P-7000,Mallette de Transport en Aluminium pour PSL,Aluminium Carry Case for PSL,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
2903-P-7001,Tete de Transilluminateur Finoff Seule,Finoff Transilluminator Head Only,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3010-P-2000,Lampe a Fente Portable PSL Classic,PSL Classic Portable Slit Lamp,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3020-P-2006,Lampe à Fente Portable Keeler PSL One,Keeler PSL One Portable Slit Lamp,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3020-P-2007,Lampe a Fente Digital Ready KSL-H5,KSL-H5 Digital Ready Slit Lamp,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3020-P-2009,Lampe à Fente Portable Keeler PSL One,Keeler PSL One Portable Slit Lamp,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3020-P-2010,Lampe à Fente Portable Keeler PSL One,Keeler PSL One Portable Slit Lamp,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3020-P-2019,Lampe à Fente Portable Keeler PSL One,Keeler PSL One Portable Slit Lamp,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3020-P-2047,Cámara de lampe de hendidura digital ready con software de imagen kapture,Cámara of lamp of hendidura digital ready con software of imagen Kapture,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3020-P-2081,Lampe à Fente Portable Keeler PSL One,Keeler PSL One Portable Slit Lamp,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3020-P-2083,Cámara de lampe de hendidura digital ready con software de imagen kapture,Cámara of lamp of hendidura digital ready con software of imagen Kapture,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3020-P-2089,Cámara de lampe de hendidura digital ready con software de imagen kapture,Cámara of lamp of hendidura digital ready con software of imagen Kapture,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3020-P-2090,Lampe a Fente Digital Ready KSL-H3,KSL-H3 Digital Ready Slit Lamp,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3020-P-2092,Cámara de lampe de hendidura digital ready con software de imagen kapture,Cámara of lamp of hendidura digital ready con software of imagen Kapture,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3020-P-2093,Cámara de lampe de hendidura digital ready con software de imagen kapture,Cámara of lamp of hendidura digital ready con software of imagen Kapture,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3020-P-2095,Cámara de lampe de hendidura digital ready con software de imagen kapture,Cámara of lamp of hendidura digital ready con software of imagen Kapture,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3020-P-2139,Lampe à Fente,Slit Lamp,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3020-P-2140,Lampe a Fente Numerique KSL-Z5,KSL-Z5 Digital Slit Lamp,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3020-P-2141,Lampe a Fente Numerique KSL-Z3,KSL-Z3 Digital Slit Lamp,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3104-1-8201,Lampe à Fente Portable Keeler PSL One,Keeler PSL One Portable Slit Lamp,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3412-P-7000,Mallette Rigide Ophtalmoscope Retinoscope,Ophthalmoscope Retinoscope Hard Case,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
3412-P-7002,Instrument KEELER,KEELER Instrument,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
EP29-32777,Instrument KEELER,KEELER Instrument,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
EP39-18918,Batterie Lithium 3.6V,3.6V Lithium Battery,KEELER,Ophtalmologie,Diagnostic,oph-diagnostic,active
C-000.32.241,Filtre Jaune Amovible pour LoupeLight2/MicroLight2,Detachable Yellow Filter for Loupelight2/Microlight2,heine,Ophtalmologie,Diagnostic,oph-diagnostic,active
"C-000.32.302, C-000.32.305, C-000.32.306, C-000.32.307, C-000.32.309, C-000.32.523, C-000.32.537, C-000.32.549, C-000.32.551, C-000.32.027",Accessoires pour Loupes Binoculaires,Binocular Loupes Accessories,heine,Ophtalmologie,Diagnostic,oph-diagnostic,active
"C-000.32.350, C-000.32.355, C-000.32.356, C-000.32.357, C-000.32.366, C-000.32.367",Loupes Binoculaires HR 2.5x Haute Résolution,HR 2.5x High Resolution Binocular Loupes,heine,Ophtalmologie,Diagnostic,oph-diagnostic,active
"C-000.32.440, C-000.32.441, C-000.32.444, C-000.32.445, C-000.32.450, C-000.32.455, C-000.32.460, C-000.32.461, C-000.32.464, C-000.32.465, C-000.32.470, C-000.32.475, C-000.32.440A, C-000.32.441A, C-000.32.444A, C-000.32.445A, C-000.32.450A, C-000.32.455A, C-000.32.460A, C-000.32.461A, C-000.32.464A, C-000.32.465A, C-000.32.470A, C-000.32.475A, C-000.32.430, C-000.32.431, C-000.32.434, C-000.32.435",Loupes Binoculaires Prismatiques HRP Haute Résolution,HRP High Resolution Prismatic Binocular Loupes,heine,Ophtalmologie,Diagnostic,oph-diagnostic,active
"C-001.30.100, C-008.30.100, C-011.10.118, C-011.28.388, C-144.10.118, C-144.24.420, C-144.28.388, C-008.30.120, C-010.28.388, C-261.10.118, C-261.24.420, C-261.28.388",Ophtalmoscope Beta 200 LED,Beta 200 LED Ophthalmoscope,heine,Ophtalmologie,Diagnostic,oph-diagnostic,active
"C-008.33.610, C-008.33.611, C-008.33.612, C-008.33.620, C-008.33.621, C-008.33.622",Ophtalmoscope Indirect Omega 600,Omega 600 Indirect Ophthalmoscope,heine,Ophtalmologie,Diagnostic,oph-diagnostic,active
"C-011.28.388, C-010.28.388, C-261.28.388, C-144.28.388",Ensemble Diagnostique Beta 200 LED (Ophtalmoscope + Otoscope),Beta 200 LED Diagnostic Set (Ophthalmoscope + Otoscope),heine,Ophtalmologie,Diagnostic,oph-diagnostic,active
"C-011.28.388, C-144.28.388, C-261.28.388",Ensemble Diagnostique Beta 400/200 LED (Otoscope + Ophtalmoscope),Beta 400/200 LED Diagnostic Set (Otoscope + Ophthalmoscope),heine,Ophtalmologie,Diagnostic,oph-diagnostic,active
"C-014.10.118, C-014.28.388, C-034.10.118, C-034.28.388",Rétinoscope Beta 200 LED,Beta 200 LED Retinoscope,heine,Ophtalmologie,Diagnostic,oph-diagnostic,active
"C-034.10.118, C-034.28.388, C-144.10.118, C-261.10.118",Ensemble Diagnostique Ophtalmique (Ophtalmoscope + Rétinoscope),Ophthalmic Diagnostic Set (Ophthalmoscope + Retinoscope),heine,Ophtalmologie,Diagnostic,oph-diagnostic,active
"C-182.10.118, C-182.28.388",Ophtalmoscope K180 LED,K180 LED Ophthalmoscope,heine,Ophtalmologie,Diagnostic,oph-diagnostic,active
"C-283.10.330, C-283.10.335, C-284.10.330, C-284.10.335, C-008.33.530, C-008.33.535",Ophtalmoscope Indirect Binoculaire Omega 500 LED,Omega 500 LED Binocular Indirect Ophthalmoscope,heine,Ophtalmologie,Diagnostic,oph-diagnostic,active
"D-001.71.120, D-002.71.120, D-008.71.120, D-008.71.220, D-886.11.021, D-886.11.022",Ophtalmoscope Mini 3000 LED,Mini 3000 LED Ophthalmoscope,heine,Ophtalmologie,Diagnostic,oph-diagnostic,active
"D-886.11.021, D-886.11.022",Ensemble Diagnostique Mini 3000 LED (Ophtalmoscope + Otoscope),Mini 3000 LED Diagnostic Set (Ophthalmoscope + Otoscope),heine,Ophtalmologie,Diagnostic,oph-diagnostic,active
"J-008.31.276, J-008.31.277",Lampe Frontale MicroLight2 LED,Microlight2 LED Headlight,heine,Ophtalmologie,Diagnostic,oph-diagnostic,active
"J-008.31.415, J-008.31.416, J-008.31.417, J-008.31.418, J-008.31.431, J-008.31.432, J-008.31.433, J-008.31.434, J-008.31.441, J-008.31.442, J-008.31.443, J-008.31.444, J-008.31.445, J-008.31.446, J-008.31.447, J-008.31.448, J-008.31.451, J-008.31.453, J-008.31.455, J-008.31.457, J-008.31.461, J-008.31.463",Lampe Frontale Chirurgicale ML4 LED,ML4 LED Headlight,heine,Ophtalmologie,Diagnostic,oph-diagnostic,active
2208-L-7008,Papier Imprimante Pulsair EasyEye,Pulsair EasyEye Printer Paper,keeler,Ophtalmologie,Diagnostic,oph-diagnostic,active
24-3000/24-3000-V,Accupen Handheld Tonomètre,Accupen Handheld Tonometer,keeler,Ophtalmologie,Diagnostic,oph-diagnostic,active
24-3020,Support Transparent pour AccuPen et PachPen,Clear Holder for AccuPen and PachPen,keeler,Ophtalmologie,Diagnostic,oph-diagnostic,active
24-4001,Sonde Ultrasons A-Scan,A-Scan Ultrasound Probe,keeler,Ophtalmologie,Diagnostic,oph-diagnostic,active
182413010A,Unité de Consultation avec Fauteuil,Consultation Unit with Chair,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
182413020A,Système Chirurgical Ophtalmique,Ophthalmic Surgical System,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
18241M012L,Système Chirurgical Ophtalmique,Ophthalmic Surgical System,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
18241M021L,Système Chirurgical Ophtalmique,Ophthalmic Surgical System,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
AFC-330,Rétinographe Non-Mydriatique AFC-330,AFC-330 Non-Mydriatic Auto Fundus Camera,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
AL-SCAN,Biomètre Optique AL-Scan,AL-Scan Optical Biometer,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
AR-1,Auto-Réfractomètre AR-1,AR-1 Auto-Refractometer,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
ARK-1,Auto-Réfracto-Kératomètre ARK-1,ARK-1 Auto-Refracto-Keratometer,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
ARK-1a,Auto-Réfracto-Kératomètre ARK-1a,ARK-1a Auto-Refracto-Keratometer,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
ARK-1s,Auto-Réfracto-Kératomètre ARK-1s,ARK-1s Auto-Refracto-Keratometer,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
CEM-530,Microscope Spéculaire CEM-530,CEM-530 Specular Microscope,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
CP-9,Projecteur de Tests CP-9,CP-9 Chart Projector,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
FE 3001,Unité de Consultation avec Fauteuil FE 3001,FE 3001 Consultation Unit with Chair,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
FE-2010,Fauteuil d'Examen Électrique FE-2010,FE-2010 Electric Examination Chair,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
GS-1,Gonioscope Automatisé GS-1,GS-1 Automated Gonioscope,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
GYC-500,Photocoagulateur Laser Vert GYC-500,GYC-500 Green Laser Photocoagulator,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
ICE-1,Meuleuse Intelligente ICE-1,ICE-1 Intelligent Blocker,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
ICE-1500,Meuleuse Intelligente ICE-1500,ICE-1500 Intelligent Blocker,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
LM-1800P,Frontofocomètre Automatique LM-1800P,LM-1800P Automatic Lensmeter,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
LM-1800PD,Frontofocomètre Automatique LM-1800PD,LM-1800PD Automatic Lensmeter,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
LM-7,Frontofocomètre Automatique LM-7,LM-7 Automatic Lensmeter,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
LM-7P,Frontofocomètre Automatique LM-7P,LM-7P Automatic Lensmeter,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
MIRANTE,Ophtalmoscope à Balayage Laser Mirante,Mirante Scanning Laser Ophthalmoscope,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
MP-3,Micropérimètre MP-3,MP-3 Microperimeter,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
OPD-Scan,Analyseur Réfractif/Cornéen OPD-Scan III,OPD-Scan III Refractive Power/Corneal Analyzer,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
OT-2200,Unité de Consultation OT-2200,OT-2200 Consultation Unit,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
OT-4200,Unité de Consultation OT-4200,OT-4200 Consultation Unit,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
OT-6400,Unité de Réfraction Motorisée OT-6400,OT-6400 Motorized Refraction Unit,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
PM-700,Pupillomètre PM-700,PM-700 Pupillometer,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
RS-330,OCT-Rétinographe RS-330,RS-330 OCT-Retinograph,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
RT-3100,Réfracteur Intelligent RT-3100,RT-3100 Intelligent Refractor,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
RT-6100,Réfracteur Intelligent RT-6100,RT-6100 Intelligent Refractor,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
SL-1800,Lampe à Fente SL-1800,SL-1800 Slit Lamp,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
SSC-370,Écran d'Optotypes SC-1600,SC-1600 Optotype Display Screen,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
US-4000,Échographe US-4000,US-4000 Echoscan,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
YC-200,Système Laser YAG YC-200,YC-200 YAG Laser System,nidek,Ophtalmologie,Diagnostic,oph-diagnostic,active
ESP-MDP-IGGW,Pack Diagnostic Me-Check,Me-Check Diagnostic Pack,espansione-marketing,Ophtalmologie,Exploration,oph-exploration,active
MECHECK,ME-CHECK Module de Dépistage MGD,ME-CHECK MGD Screening Module,espansione-marketing,Ophtalmologie,Exploration,oph-exploration,active
-,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
1009000,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
1009001,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
1021400,Analyseur Oculaire OCT Swept-Source EYESTAR 900,EYESTAR 900 Swept-Source OCT Ocular Analyzer,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
1420155,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
"1420213, 1420145, 1420175",Biomicroscope a Lampe a Fente BM970,BM970 Slit Lamp Biomicroscope,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
4000006,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
4000007,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
4000011,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
4000012,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
4000015,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
4000018,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
"4000037 (NEO 900), 4000038 (NEO 900A)",Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
4000054,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
4000060,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
4000061,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
"5606011 (Set A), 5606013 (Set C)",Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
5806000A,Tonometre a Aplanation AT870,AT870 Applanation Tonometer,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
7200032,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
7200033,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
7200154,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
7220001,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
7220096,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
7220354,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
7220376,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
7220400,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
7220460,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
7220494,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
7220497,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
7220531,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
"7221069
Nouveau 2025",Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
9001803000,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
9001806000,Instrument HAAG-STREIT-U-K,HAAG-STREIT-U-K Instrument,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
Nouveau 2024,METIS 900 Centre de Contrôle Chirurgical,METIS 900 Surgical Control Center,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
Nouveau 2025,ELARA 900 Lampe à Fente Avancée,ELARA 900 Advanced Slit Lamp,haag-streit-u-k,Ophtalmologie,Exploration,oph-exploration,active
FC161,APPAREIL DE CAPTURE DES IMAGES BINOCULAIRES,Binocular Image Capture Device,mediworks,Ophtalmologie,Exploration,oph-exploration,active
FC162,APPAREIL DE CAPTURE DES IMAGES BINOCULAIRES,Binocular Image Capture Device,mediworks,Ophtalmologie,Exploration,oph-exploration,active
S260,MICROSCOPE A LAMPE A FENTE,Slit Lamp Microscope,mediworks,Ophtalmologie,Exploration,oph-exploration,active
S260S,MICROSCOPE A LAMPE A FENTE,Slit Lamp Microscope,mediworks,Ophtalmologie,Exploration,oph-exploration,active
S360,MICROSCOPE A LAMPE A FENTE,Slit Lamp Microscope,mediworks,Ophtalmologie,Exploration,oph-exploration,active
S360S,MICROSCOPE A LAMPE A FENTE,Slit Lamp Microscope,mediworks,Ophtalmologie,Exploration,oph-exploration,active
S390L,MICROSCOPE A LAMPE A FENTE,Slit Lamp Microscope,mediworks,Ophtalmologie,Exploration,oph-exploration,active
T170,TONOMETRE A APPLANATION,Applanation Tonometer,mediworks,Ophtalmologie,Exploration,oph-exploration,active
TA517,ANALYSEUR DE SEGMENT ANTERIEUR L'OEIL,Anterior Segment Analyzer,mediworks,Ophtalmologie,Exploration,oph-exploration,active
A-5,Mobilier Médical PUKANG A-5,Three Function Manual Hospital Bed,pukang,Ophtalmologie,Exploration,oph-exploration,active
B-16,Lit médical manuel à deux manivelles,Two Crank Manual Medical Patient Bed,pukang,Ophtalmologie,Exploration,oph-exploration,active
B-23,Lit d'hôpital manuel à une manivelle,Single Crank Manual Hospital Bed,pukang,Ophtalmologie,Exploration,oph-exploration,active
B-36,Lit pour Nouveau-Né Hospitalier,Hospital Newborn Baby Bed,pukang,Ophtalmologie,Exploration,oph-exploration,active
B-45,Lit Obstétrical Hydraulique,Hydraulic Obstetric Bed,pukang,Ophtalmologie,Exploration,oph-exploration,active
B-46,Lit pour Nourrisson,Infant Bed,pukang,Ophtalmologie,Exploration,oph-exploration,active
B-48,Lit d'Accouchement Hospitalier,Hospital Birthing Bed,pukang,Ophtalmologie,Exploration,oph-exploration,active
DA-11,Lit d'Hôpital Électrique Cinq Fonctions Type C5,Type C5 Five Function Electric Hospital Bed,pukang,Ophtalmologie,Exploration,oph-exploration,active
DA-2 (C5),Lit de Soins Intensifs Électrique DA-2,DA-2 Electric ICU Bed,pukang,Ophtalmologie,Exploration,oph-exploration,active
DA-3 (C1),Lit Électrique Trois Fonctions DA-3,DA-3 Three-Function Electric Bed,pukang,Ophtalmologie,Exploration,oph-exploration,active
DA-7 (A2),Lit de Soins Intensifs Multifonction DA-7,DA-7 Multifunction ICU Bed,pukang,Ophtalmologie,Exploration,oph-exploration,active
DB-40,Équipement Médical PUKANG DB-40,Electric Examination Bed,pukang,Ophtalmologie,Exploration,oph-exploration,active
E-2,Brancard Hydraulique,Hydraulic Stretcher,pukang,Ophtalmologie,Exploration,oph-exploration,active
E-3,Brancard Manuel,Manual Emergency Medical Transport Stretcher,pukang,Ophtalmologie,Exploration,oph-exploration,active
E-4,Brancard Pliable,Medical Manual Connecting Stretcher for Operating Room,pukang,Ophtalmologie,Exploration,oph-exploration,active
