referenceFournisseur,constructeur,slug,categoryId,status,isFeatured,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,imageUrl
20221X1,MORIA,composites-23g-capsulorhexis-forceps-long-1-5-mm-i,ophthalmology-surgical,active,,"Composites 23g capsulorhexis pinces – long(1.5 mm incision, 23g)","Composites 23G Capsulorhexis Forceps – Long(1.5-mm incision, 23G)",23gdistal-Pinces commandreusablecapsulorhexiswithcurved active partand ≈90°pointed tip to produce rhexis de the anterior capsular bag à travers a 1.5 mm incision.,23Gdistal-commandreusablecapsulorhexis forcepswithcurved active partand ≈90°pointed tip to produce rhexis of the anterior capsular bag through a 1.5-mm incision.,"Reusability: Yes; Packaging: X1; Material*Active part: stainless steelHandle : composite; SizeTotal length: 136 mm; Tip: 0.3-mm teeth size, Pointed, ≈ 90°; Other characteristics: distal, laser graduation; Instrument base shape: Rounded handle; Intended use: Intended to perform the rhexis of the capsular bag through a 1.5-mm incision","Reusability: Yes; Packaging: X1; Material*Active part: stainless steelHandle : composite; SizeTotal length: 136 mm; Tip: 0.3-mm teeth size, Pointed, ≈ 90°; Other characteristics: distal, laser graduation; Instrument base shape: Rounded handle; Intended use: Intended to perform the rhexis of the capsular bag through a 1.5-mm incision",https://www.moria-surgical.com/media/cache/product_viewer/files/product/c702d1ce60fbedd46f622d4652e03d73dade38e0.jpg
M2002,MORIA,corydon-forceps-1-8-mm-1-8-mm-incision-m2002,ophthalmology-surgical,active,,Corydon pinces - 1.8 mm(1.8 mm incision),Corydon Forceps - 1.8 mm(1.8-mm incision),Réutilisable capsulorhexis pinces withstraight active partand ≈90°pointed tip to produce the rhexis de the anterior capsular bag à travers a1.8 mmincision.,Reusable capsulorhexis forceps  withstraight active partand ≈90°pointed tip to produce the rhexis of the anterior capsular bag through a1.8-mmincision.,"Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 86 mm; Tip: Pointed, ≈90°; Other characteristics: Straight active part; Instrument base shape: Serrated handle; Intended use: Intended to perform the rhexis of the capsular bag through a 1.8-mm incision","Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 86 mm; Tip: Pointed, ≈90°; Other characteristics: Straight active part; Instrument base shape: Serrated handle; Intended use: Intended to perform the rhexis of the capsular bag through a 1.8-mm incision",https://www.moria-surgical.com/media/cache/product_viewer/files/product/f09251271391e2ebc658064b3e7c4fd0b1d1056e.jpg
20039,MORIA,dmek-forceps-straight-20039,ophthalmology-surgical,active,,Dmek pinces(droit(e)),DMEK Forceps(straight),Active part avec lisse andstraight10.0 mmplatforms. pinces that can be used to delaminate the endothelium de a donor corneo-scléral(e) tissue.,Active part with smooth andstraight10.0-mmplatforms.Forceps that can be used to delaminate the endothelium from a donor corneo-scleral tissue.,Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 122 mm; Tip: Straight with 10-mm platforms; Handle: Bird cage; Intended use: To delaminate the endothelium from a donor corneo-scleral tissue.,Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 122 mm; Tip: Straight with 10-mm platforms; Handle: Bird cage; Intended use: To delaminate the endothelium from a donor corneo-scleral tissue.,https://www.moria-surgical.com/media/cache/product_viewer/files/product/d03a6280da96a928771174882974f4ad6885b33e.jpg
M2002,MORIA,corydon-forceps-1-8-mm-1-8-mm-incision-m2002,ophthalmology-surgical,active,,Corydon pinces - 1.8 mm(1.8 mm incision),Corydon Forceps - 1.8 mm(1.8-mm incision),Réutilisable capsulorhexis pinces withstraight active partand ≈90°pointed tip to produce the rhexis de the anterior capsular bag à travers a1.8 mmincision.,Reusable capsulorhexis forceps  withstraight active partand ≈90°pointed tip to produce the rhexis of the anterior capsular bag through a1.8-mmincision.,"Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 86 mm; Tip: Pointed, ≈90°; Other characteristics: Straight active part; Instrument base shape: Serrated handle; Intended use: Intended to perform the rhexis of the capsular bag through a 1.8-mm incision","Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 86 mm; Tip: Pointed, ≈90°; Other characteristics: Straight active part; Instrument base shape: Serrated handle; Intended use: Intended to perform the rhexis of the capsular bag through a 1.8-mm incision",https://www.moria-surgical.com/media/cache/product_viewer/files/product/f09251271391e2ebc658064b3e7c4fd0b1d1056e.jpg
M1815A,MORIA,kelman-mac-pherson-forceps-7-mm-platforms-angled-j,ophthalmology-surgical,active,,"Kelman-mac pherson pinces(7 mm platforms, angulé(e) jaws)","Kelman-Mac Pherson Forceps(7-mm platforms, angled jaws)","Kelman-mac phersonholding pinces avec a flat dentelé(e) handle, active tip avec 7 mmplatformsandangledjaws, et 8.2-cm length. can be used to hold the threads duringsutures.","Kelman-Mac Phersonholding forceps with a flat serrated handle, active tip with 7-mmplatformsandangledjaws, and 8.2-cm length.Can be used to hold the threads duringsutures.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 82 mm; Tip: 7-mm platforms, angled jaws; Handle: Flat, serrated; Intended use: To hold the suture wire.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 82 mm; Tip: 7-mm platforms, angled jaws; Handle: Flat, serrated; Intended use: To hold the suture wire.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/493b4068d61c768a2238a22f168a65e763dd3324.jpg
M5030,MORIA,kelman-mac-pherson-forceps-11-mm-platforms-angled-,ophthalmology-surgical,active,,"Kelman-mac pherson pinces(11 mm platforms, angulé(e) jaws)","Kelman-Mac Pherson Forceps(11-mm platforms, angled jaws)","Kelman-mac phersonholding pinces avec a flat dentelé(e) handle, active tip avec 11 mmplatformsandangledjaws, et 8.5-cm length. can be used to hold the threads duringsutures.","Kelman-Mac Phersonholding forceps with a flat serrated handle, active tip with 11-mmplatformsandangledjaws, and 8.5-cm length.Can be used to hold the threads duringsutures.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 85 mm; Tip: 11-mm platforms, angled jaws; Handle: Flat, serrated; Intended use: To hold the suture wire.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 85 mm; Tip: 11-mm platforms, angled jaws; Handle: Flat, serrated; Intended use: To hold the suture wire.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/b78f45f3b8104d6e90b458fdb2b52358c7ad7a7b.jpg
M1809,MORIA,bonn-forceps-0-12-mm-teeth-m1809,ophthalmology-surgical,active,,Bonn pinces(0.12 mm teeth),Bonn Forceps(0.12-mm teeth),Reusablebonnholding pinces with0.12 mmteeth. can be used to hold the cornea.,ReusableBonnholding forceps with0.12-mmteeth. Can be used to hold the cornea.,"Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 7.3 cm; Tip: 0.12-mm teeth, straight; Handle: Flat, serrated; Intended use: To hold the cornea.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 7.3 cm; Tip: 0.12-mm teeth, straight; Handle: Flat, serrated; Intended use: To hold the cornea.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/12388297c01d858a1fe137560269420afa8d6bed.jpg
M1796,MORIA,castroviejo-suturing-forceps-5-8-mm-platforms-0-18,ophthalmology-surgical,active,,"Castroviejo suture pinces(5.8 mm platforms, 0.18 mm teeth)","Castroviejo Suturing Forceps(5.8-mm platforms, 0.18-mm teeth)","Castroviejosuturing pinces is used pour holdingsuturingthread, avec a flat dentelé(e) handle, and0.18 mmteeth sur the droit(e) 5.9 mm active part. length de the pinces is 10.8 cm.","CastroviejoSuturing Forceps is used for holdingsuturingthread, with a flat serrated handle, and0.18-mmteeth on the straight 5.9-mm active part.Length of the forceps is 10.8 cm.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 10.8 cm; Tip: 0.18-mm teeth, 5.8-mm platforms; Handle: Flat, serrated; Intended use: To hold suturing thread","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 10.8 cm; Tip: 0.18-mm teeth, 5.8-mm platforms; Handle: Flat, serrated; Intended use: To hold suturing thread",https://www.moria-surgical.com/media/cache/product_viewer/files/product/d07abe0d4ed6aa82026e900820fe88c009583c2f.jpg
20038,MORIA,dmek-forceps-curved-20038,ophthalmology-surgical,active,,Dmek pinces(courbé(e)),DMEK Forceps(curved),Active part avec lisse andcurved10.0 mmplatforms. pinces that can be used to delaminate the endothelium de a donor corneo-scléral(e) tissue.,Active part with smooth andcurved10.0-mmplatforms.Forceps that can be used to delaminate the endothelium from a donor corneo-scleral tissue.,Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 120 mm; Tip: Curved with 10-mm platforms; Handle: Bird cage; Intended use: To delaminate the endothelium  from a donor corneo-scleral tissue.,Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 120 mm; Tip: Curved with 10-mm platforms; Handle: Bird cage; Intended use: To delaminate the endothelium  from a donor corneo-scleral tissue.,https://www.moria-surgical.com/media/cache/product_viewer/files/product/a52de284f516fc4d9119a46d21c3b49acecb9052.jpg
20002,MORIA,nagahara-phaco-chopper-1-3-mm-tip-20002,ophthalmology-surgical,active,,Nagahara phaco-chopper(1.3 mm tip),Nagahara Phaco-Chopper(1.3-mm tip),"11.5-cm total length, 1.3 mm tip, 90° angulé(e), avec inner coupe edge, angulation 145°. can be used pour phacoemulsification duringcataractsurgery.","11.5-cm total length, 1.3-mm tip, 90° angled, with inner cutting edge, angulation 145°.Can be used for phacoemulsification duringcataractsurgery.",Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 115 mm; Tip: Blunt olive tip; Other characteristics: N/A; Instrument base shape: Knurled; Intended use: To perform phacoemulsification during cataract surgery.,Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 115 mm; Tip: Blunt olive tip; Other characteristics: N/A; Instrument base shape: Knurled; Intended use: To perform phacoemulsification during cataract surgery.,https://www.moria-surgical.com/media/cache/product_viewer/files/product/4d328e7573f451c772d3e0b6a57534b29f4b2d6d.jpg
20017,MORIA,villon-nucleus-divider-hook-vertical-phaco-chopper,ophthalmology-surgical,active,,Villon nucleus divider hook(vertical phaco-chopper),Villon Nucleus Divider Hook(vertical phaco-chopper),"Vertical phaco-chopper, 11.3-cm total length, 130° angulé(e), 1 mm tip. can be used to hold et divide thecrystalline lensduringcataractsurgery.","Vertical phaco-chopper, 11.3-cm total length, 130° angled, 1-mm tip.Can be used to hold and divide thecrystalline lensduringcataractsurgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 113 mm; Tip: 130° angled, 1-mm tip; Other characteristics: N/A; Instrument base shape: Knurled; Intended use: To hold and divide the crystalline lens during cataract surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 113 mm; Tip: 130° angled, 1-mm tip; Other characteristics: N/A; Instrument base shape: Knurled; Intended use: To hold and divide the crystalline lens during cataract surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/2db1506d71886c3354b1a9134806f8883bfb1338.jpg
20018,MORIA,burtin-double-ended-iris-hook-double-ended-20018,ophthalmology-surgical,active,,Burtin à double extrémité iris hook(à double extrémité),Burtin Double-Ended Iris Hook(double-ended),"Total length 11.3 cm. both extremities are angulé(e), avec a 1 mm long active part. can be used to repair a defectuousirisand to retrieve a subluxatediol.","Total length 11.3 cm. Both extremities are angled, with a 1-mm long active part.Can be used to repair a defectuousirisand to retrieve a subluxatedIOL.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 113 mm; Tip: Curved, 1-mm; Intended use: To repair a defectuous iris and to retrieve a subluxated IOL.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 113 mm; Tip: Curved, 1-mm; Intended use: To repair a defectuous iris and to retrieve a subluxated IOL.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/3b34c526880f224b72ae58f68484f0a64a96a45b.jpg
2873A,MORIA,sichel-lachrymal-duct-probe-0-41-mm-2873a,ophthalmology-surgical,active,,Sichel lachrymal duct sonde(0.41 mm),Sichel Lachrymal Duct Probe(0.41 mm),"Sichel lachrymal duct dilator pour dilating the lachrymal ducts. length: 68 mm, avec thin tip 0.41 mm, conical et émoussé(e).","Sichel lachrymal duct dilator for dilating the lachrymal ducts.Length: 68 mm, with thin tip 0.41 mm, conical and blunt.",,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/f16a7b015ac8fdb1068014a0709dd6f30e5f9e48.jpg
8151,MORIA,barraquer-needle-holder-non-locking-15-mm-curved-j,ophthalmology-surgical,active,,"Barraquer aiguille-holder(non-locking, 15 mm courbé(e) jaws, 0.5 mm wide)","Barraquer Needle-Holder(Non-locking, 15-mm curved jaws, 0.5-mm wide)",Wire diameter:10/0- jaws type: curvedand lisse jaws -non-lockinghandle,Wire diameter:10/0- Jaws type:curvedand smooth jaws -Non-lockinghandle,"Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 138 mm; Tip: 15-mm curved jaws, 0.5-mm wide; Wire diameter: 10/0; Handle: Non-locking; Intended use: To hold a needle and perform various suture types","Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 138 mm; Tip: 15-mm curved jaws, 0.5-mm wide; Wire diameter: 10/0; Handle: Non-locking; Intended use: To hold a needle and perform various suture types",https://www.moria-surgical.com/media/cache/product_viewer/files/product/f52bc5c3b188e3c271c89558cd0ff34652a025f5.jpg
9960,MORIA,troutman-obrien-needle-holder-non-locking-0-8-mm-c,ophthalmology-surgical,active,,"Troutman-obrien aiguille-holder(non-locking, 0.8 mm courbé(e) jaws)","Troutman-OBrien Needle-Holder(Non-locking, 0.8-mm curved jaws)",Wire diameter:10/0- jaws type: curvedand lisse jaws -non-lockinghandle,Wire diameter:10/0- Jaws type:curvedand smooth jaws -Non-lockinghandle,Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 102 mm; Tip: 0.8-mm curved jaws; Wire diameter: 10/0; Handle: Non-locking; Intended use: To hold a needle and perform various suture types,Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 102 mm; Tip: 0.8-mm curved jaws; Wire diameter: 10/0; Handle: Non-locking; Intended use: To hold a needle and perform various suture types,https://www.moria-surgical.com/media/cache/product_viewer/files/product/4d65abe0d7539cc112f2b3c60da0a58ba5602956.jpg
TI9960,MORIA,troutman-obrien-needle-holder-non-locking-0-8-mm-c,ophthalmology-surgical,active,,"Troutman-obrien aiguille-holder(non-locking, 0.8 mm courbé(e) jaws, titanium)","Troutman-OBrien Needle-Holder(Non-locking, 0.8-mm curved jaws, titanium)",Wire diameter:10/0- jaws type: curvedand lisse jaws -non-lockinghandle,Wire diameter:10/0- Jaws type:curvedand smooth jaws -Non-lockinghandle,Reusability: Yes; Packaging: X1; Material*: Titanium; SizeTotal length: 102 mm; Tip: 0.8-mm curved jaws; Wire diameter: 10/0; Handle: Non-locking; Intended use: To hold a needle and perform various suture types,Reusability: Yes; Packaging: X1; Material*: Titanium; SizeTotal length: 102 mm; Tip: 0.8-mm curved jaws; Wire diameter: 10/0; Handle: Non-locking; Intended use: To hold a needle and perform various suture types,https://www.moria-surgical.com/media/cache/product_viewer/files/product/cf9af34468301d2bd9e9399b5d5d645ee7bedd91.jpg
9960BIS,MORIA,troutman-obrien-needle-holder-locking-0-8-mm-curve,ophthalmology-surgical,active,,"Troutman-obrien aiguille-holder(locking, 0.8 mm courbé(e) jaws)","Troutman-OBrien Needle-Holder(Locking, 0.8-mm curved jaws)","Wire diameter:10/0- jaws type: 0.8 mmcurved, délicat(e) et lisse jaws -lockinghandle","Wire diameter:10/0- Jaws type: 0.8-mmcurved, delicate and smooth jaws -Lockinghandle",Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 102 mm; Tip: 0.8-mm curved jaws; Wire diameter: 10/0; Handle: Locking; Intended use: To hold a needle and perform various suture types,Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 102 mm; Tip: 0.8-mm curved jaws; Wire diameter: 10/0; Handle: Locking; Intended use: To hold a needle and perform various suture types,https://www.moria-surgical.com/media/cache/product_viewer/files/product/b19db6ff84e067c787ffadd6ee2d0921c4c4e185.jpg
13100,MORIA,barraquer-moria-needle-holder-non-locking-0-8-mm-c,ophthalmology-surgical,active,,"Barraquer moria aiguille-holder(non-locking, 0.8 mm courbé(e) jaws)","Barraquer Moria Needle-Holder(Non-locking, 0.8-mm curved jaws)","Wire diameter:10/0- jaws type: 0.8 mmcurved, délicat(e) et lisse -non-lockinghandle","Wire diameter:10/0- Jaws type: 0.8-mmcurved, delicate and smooth -Non-lockinghandle",Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 130 mm; Tip: 0.8-mm curved jaws; Wire diameter: 10/0; Handle: Non-locking; Intended use: To hold a needle and perform various suture types,Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 130 mm; Tip: 0.8-mm curved jaws; Wire diameter: 10/0; Handle: Non-locking; Intended use: To hold a needle and perform various suture types,https://www.moria-surgical.com/media/cache/product_viewer/files/product/dc09e4f2d72482cfbe81623819377f3689a05fa7.jpg
13100,MORIA,barraquer-moria-needle-holder-non-locking-0-8-mm-c,ophthalmology-surgical,active,,"Barraquer moria aiguille-holder(non-locking, 0.8 mm courbé(e) jaws)","Barraquer Moria Needle-Holder(Non-locking, 0.8-mm curved jaws)","Wire diameter:10/0- jaws type: 0.8 mmcurved, délicat(e) et lisse -non-lockinghandle","Wire diameter:10/0- Jaws type: 0.8-mmcurved, delicate and smooth -Non-lockinghandle",Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 130 mm; Tip: 0.8-mm curved jaws; Wire diameter: 10/0; Handle: Non-locking; Intended use: To hold a needle and perform various suture types,Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 130 mm; Tip: 0.8-mm curved jaws; Wire diameter: 10/0; Handle: Non-locking; Intended use: To hold a needle and perform various suture types,https://www.moria-surgical.com/media/cache/product_viewer/files/product/dc09e4f2d72482cfbe81623819377f3689a05fa7.jpg
18220,MORIA,fine-thornton-ring-15-mm-18220,ophthalmology-surgical,active,,Fin(e)-thornton ring(ø 15 mm),Fine-Thornton Ring(Ø 15 mm),Openringwith a 15 mm external diameter.120 mm total length avec a handle de 95 mm length et 5 mm diameter. can be used to hold the eye pendant ophtalmique surgery.,Openringwith a 15-mm external diameter.120-mm total length with a handle of 95-mm length and 5-mm diameter.Can be used to hold the eye during ophthalmic surgery.,"Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 120 mm; HandleLength: 95 mmDiameter: 5 mm; Tip: Open ring, 15 mm diameter; Other characteristics: Tip every 30°; Intended use: To hold the eye during ophthalmic surgery","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 120 mm; HandleLength: 95 mmDiameter: 5 mm; Tip: Open ring, 15 mm diameter; Other characteristics: Tip every 30°; Intended use: To hold the eye during ophthalmic surgery",https://www.moria-surgical.com/media/cache/product_viewer/files/product/15ac4b09cb63134119c49d3a4cd680487aa52202.jpg
M35220,MORIA,sinskey-hook-0-6-mm-tip-length-m35220,ophthalmology-surgical,active,,Sinskey hook(0.6 mm tip length),Sinskey Hook(0.6-mm tip length),"Droit(e), active part angulé(e) at90°avec a 0.6 mm émoussé(e) tip length et 0.2 mm tip diameter. can be used to manipulate anintraocular lensduringcataractsurgery.","Straight, active part angled at90°with a 0.6-mm blunt tip length and 0.2-mm tip diameter.Can be used to manipulate anintraocular lensduringcataractsurgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 121 mm; Tip: Angled at 90°, blunt, 0.6-mm length; Other characteristics: 0.2-mm tip diameter; Instrument base shape: Knurled; Intended use: To manipulate an intraocular lens during cataract surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 121 mm; Tip: Angled at 90°, blunt, 0.6-mm length; Other characteristics: 0.2-mm tip diameter; Instrument base shape: Knurled; Intended use: To manipulate an intraocular lens during cataract surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/0bfba1832e941b3be5a015109c2ebfcc229555e9.jpg
22517172,MORIA,sterilization-box-in-aluminum-22517172,ophthalmology-surgical,active,,Sterilization box(dans aluminum),Sterilization box(In aluminum),"Colorful anodized aluminum sterilization box, pour storing et/ou sterilizing any type de surgical instruments such as hanna's trépan. box dimensions: 280 x 120 x 80mm.","Colorful anodized aluminum sterilization box, for storing and/or sterilizing any type of surgical instruments such as Hanna's trephine. Box dimensions: 280 x 120 x 80mm.",,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/de831fdd823990f1c3452b46319b07f62fd48ba8.jpg
22518350,MORIA,sterilization-box-in-aluminum-22518350,ophthalmology-surgical,active,,Sterilization box(dans aluminum),Sterilization box(In aluminum),"A sterilization box made de gold-colored anodized aluminum, to store et/ou sterilize any type de surgical instruments avec a lock. spiked plate provided. box dimensions: 316 x 210 x 25mm.","A sterilization box made of gold-colored anodized aluminum, to store and/or sterilize any type of surgical instruments with a lock. Spiked plate provided. Box dimensions: 316 x 210 x 25mm.",,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/a916bed2daf8ee082ef1d70502b683d037bf4165.jpg
22518351,MORIA,sterilization-box-in-aluminum-22518351,ophthalmology-surgical,active,,Sterilization box(dans aluminum),Sterilization box(In aluminum),A red anodized aluminum sterilization box pour storing et/ou sterilizing any type de surgical instrument avec a lock. spiked plate provided. box dimensions: 253 x 210 x 25mm.,A red anodized aluminum sterilization box for storing and/or sterilizing any type of surgical instrument with a lock. Spiked plate provided. Box dimensions: 253 x 210 x 25mm.,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/1402e512d97978663a221cf45c30faab9167d24f.jpg
22518352,MORIA,sterilization-box-in-aluminum-22518352,ophthalmology-surgical,active,,Sterilization box(dans aluminum),Sterilization box(In aluminum),"Green anodized aluminum sterilization box, pour storing et/ou sterilizing any type de surgical instruments avec a lock. spiked plate provided. box dimensions: 190 x 210 x 25mm.","Green anodized aluminum sterilization box, for storing and/or sterilizing any type of surgical instruments with a lock. Spiked plate provided. Box dimensions: 190 x 210 x 25mm.",,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/835d3a3cfd9a624953f231e3fe5872b8006cadcf.jpg
22518353,MORIA,sterilization-box-in-aluminum-22518353,ophthalmology-surgical,active,,Sterilization box(dans aluminum),Sterilization box(In aluminum),"Blue anodized aluminum sterilization box, pour storing et/ou sterilizing any type de surgical instrument avec lock. spiked plate provided. box dimensions: 127 x 210 x 25mm.","Blue anodized aluminum sterilization box, for storing and/or sterilizing any type of surgical instrument with lock. Spiked plate provided. Box dimensions: 127 x 210 x 25mm.",,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/abf4c697932dc009c6fa4c56a1ff65bb41c167b9.jpg
22518354,MORIA,sterilization-box-in-aluminum-22518354,ophthalmology-surgical,active,,Sterilization box(dans aluminum),Sterilization box(In aluminum),"Black anodized aluminum sterilization box, pour storing et/ou sterilizing any type de surgical instrument avec lock. spiked plate provided. box dimensions: 64 x 210 x 25 mm.","Black anodized aluminum sterilization box, for storing and/or sterilizing any type of surgical instrument with lock. Spiked plate provided. Box dimensions: 64 x 210 x 25 mm.",,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/06c5cd8e479e72ae6437144935ff658b0273ac94.jpg
8150,MORIA,castroviejo-needle-holder-non-locking-curved-jaws-,ophthalmology-surgical,active,,"Castroviejo aiguille-holder(non-locking, courbé(e) jaws)","Castroviejo Needle-Holder(Non-locking, curved jaws)",Wire diameter:8/0to10/0- jaws type: curvedjaws -non-lockinghandle,Wire diameter:8/0to10/0- Jaws type:curvedjaws -Non-lockinghandle,Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 148 mm; Tip: Curved jaws; Wire diameter: 8/0 to 10/0; Handle: Non-locking; Intended use: To hold a needle and perform various suture types,Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 148 mm; Tip: Curved jaws; Wire diameter: 8/0 to 10/0; Handle: Non-locking; Intended use: To hold a needle and perform various suture types,https://www.moria-surgical.com/media/cache/product_viewer/files/product/8bb2c2f300883f6c38342794539dd5a020b4bb68.jpg
8149,MORIA,castroviejo-needle-holder-locking-curved-jaws-8149,ophthalmology-surgical,active,,"Castroviejo aiguille-holder(locking, courbé(e) jaws)","Castroviejo Needle-Holder(Locking, curved jaws)",Wire diameter:8/0to10/0- jaws type: curvedjaws -lockinghandle,Wire diameter:8/0to10/0- Jaws type:curvedjaws -Lockinghandle,Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 148 mm; Tip: Curved jaws; Wire diameter: 8/0 to 10/0; Handle: Locking; Intended use: To hold a needle and perform various suture types,Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 148 mm; Tip: Curved jaws; Wire diameter: 8/0 to 10/0; Handle: Locking; Intended use: To hold a needle and perform various suture types,https://www.moria-surgical.com/media/cache/product_viewer/files/product/9f5fc9a232781618c3fde72e3f72653833bab09b.jpg
8148,MORIA,castroviejo-needle-holder-non-locking-straight-jaw,ophthalmology-surgical,active,,"Castroviejo aiguille-holder(non-locking, droit(e) jaws)","Castroviejo Needle-Holder(Non-locking, straight jaws)",Wire diameter:8/0to10/0- jaws type: straightand lisse jaws -non-lockinghandle,Wire diameter:8/0to10/0- Jaws type:straightand smooth jaws -Non-lockinghandle,Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 148 mm; Tip: Straight jaws; Wire diameter: 8/0 to 10/0; Handle: Non-locking; Intended use: To hold a needle and perform various suture types,Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 148 mm; Tip: Straight jaws; Wire diameter: 8/0 to 10/0; Handle: Non-locking; Intended use: To hold a needle and perform various suture types,https://www.moria-surgical.com/media/cache/product_viewer/files/product/2c416e6fd2f94f84d9f8ec969c7215f9461125fe.jpg
8147,MORIA,castroviejo-needle-holder-locking-straight-jaws-81,ophthalmology-surgical,active,,"Castroviejo aiguille-holder(locking, droit(e) jaws)","Castroviejo Needle-Holder(Locking, straight jaws)","Wire diameter:8/0to10/0- jaws type: droit(e), délicat(e) et lisse jaws –lockinghandle","Wire diameter:8/0to10/0- Jaws type:straight, delicate and smooth jaws –Lockinghandle",Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 148 mm; Tip: Straight jaws; Wire diameter: 8/0 to 10/0; Handle: Locking; Intended use: To hold a needle and perform various suture types,Reusability: Yes; Packaging: X1; Material*: Stainless steel; SizeTotal length: 148 mm; Tip: Straight jaws; Wire diameter: 8/0 to 10/0; Handle: Locking; Intended use: To hold a needle and perform various suture types,https://www.moria-surgical.com/media/cache/product_viewer/files/product/acf1ba796e0ec18e08489b885b4c71763e3f2e48.jpg
