referenceFournisseur,constructeur,categoryId,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,pdfBrochureUrl,imageUrls,status,featured,originalReference,processedSlug,variantIndex
7220497,haag-streit,ophthalmology-surgical,Lenstar LS 900 - 7220497,Lenstar LS 900 - 7220497,Biomètre optique gold standard pour chirurgie de la,Biomètre optique gold standard for surgery of the,,,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Biometry/Lenstar%20900/Brochures/English/HS_lenstar_900_br_7220460_improving_outcomes.pdf,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Biometry/Lenstar%20900/Images/29023/image-thumb__29023__highlightProductsMain/HS_lenstar_900_ci_7220460_header_overview_cornea.226d9d40.avif,active,false,"1009000, 7220096, 7220376, 7220400, 1009001, 7220460, 7220494, 7220497",lenstar-ls-900-7220497,7
1021400,haag-streit,ophthalmology-surgical,Eyestar 900,Eyestar 900,Analyseur oculaire complet basé sur OCT swept-source pour chirurgie cataracte et réfractive. • OCT swept-source pour biométrie cornée-rétine • Topographie des surfaces cornéennes antérieure et postérieure • Technologie Mandala Scan (compensation mouvement OCT) • Imagerie chambre antérieure incluant cristallin • Pachymétrie et tonométrie • Acquisition entièrement automatisée • Kératométrie dual-zone réflective • Formules IOL:,Analyseur ocular complet basé sur OCT swept-source for surgery cataract and réfractive. • OCT swept-source for biométrie cornea-retina • Topographie of the surfaces cornéennes antérieure and postérieure • Technologie Mandala Scan (compensation mouvement OCT) • Imagerie anterior chamber incluant lens • Pachymétrie and tonométrie • Acquisition entièrement automatisée • Kératométrie dual-zone réflective • Formules IOL:,,,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Biometry/Eyestar%20900/Brochures/English/HS_eyestar_900_br_7220720_sweptsource_oct_for_cataract_and_refractive_surgery.pdf,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Biometry/Eyestar%20900/Images/8741/image-thumb__8741__highlightProductsMain/HS_eyestar_900_ci_7220720_header_swiss_made.503bd9a5.avif,active,false,1021400,eyestar-900,0
"1420213, 1420145, 1420175",haag-streit,ophthalmology-surgical,BQ 900,BQ 900,Lampe à fente de référence pour microscopie sophistiquée depuis 1958. Plus de,Slit lamp of référence for microscopie sophistiquée depuis 1958. Plus of,,,https://haag-streit.com/2%20Products/General%20diagnostics/Slit%20lamps/BQ%20900/Brochures/English/HS_bq900_br_7220568_02120_web.pdf,https://us.haag-streit.com/2%20Products/General%20diagnostics/Slit%20lamps/BQ%20900/Images/9141/image-thumb__9141__highlightProductsMain/HS_bq_900_ci_7220568_header_swiss_made.609a8240.avif,active,false,"1420213, 1420145, 1420175",bq-900,0
7220531,haag-streit,ophthalmology-surgical,AT 900 (goldmann) - 7220531,AT 900 (goldmann) - 7220531,Tonomètre à aplanation gold standard basé sur le principe,Tonometer to aplanation gold standard basé sur the principe,,,https://haag-streit.com/2%20Products/General%20diagnostics/Tonometers/Tonometer%20AT%20900/Brochures/English/HS_at_900_br_7220531_go_for_the_gold_standard.pdf,https://viewlightusa.com/wp-content/uploads/2020/01/haagstreit_tonometer-at-900t.jpg,active,false,"7220531, 7200154, 7200033, 1420155, 7200032",at-900-goldmann-7220531,0
7200154,haag-streit,ophthalmology-surgical,AT 900 (goldmann) - 7200154,AT 900 (goldmann) - 7200154,Tonomètre à aplanation gold standard basé sur le principe,Tonometer to aplanation gold standard basé sur the principe,,,https://haag-streit.com/2%20Products/General%20diagnostics/Tonometers/Tonometer%20AT%20900/Brochures/English/HS_at_900_br_7220531_go_for_the_gold_standard.pdf,https://viewlightusa.com/wp-content/uploads/2020/01/haagstreit_tonometer-at-900t.jpg,active,false,"7220531, 7200154, 7200033, 1420155, 7200032",at-900-goldmann-7200154,1
7200033,haag-streit,ophthalmology-surgical,AT 900 (goldmann) - 7200033,AT 900 (goldmann) - 7200033,Tonomètre à aplanation gold standard basé sur le principe,Tonometer to aplanation gold standard basé sur the principe,,,https://haag-streit.com/2%20Products/General%20diagnostics/Tonometers/Tonometer%20AT%20900/Brochures/English/HS_at_900_br_7220531_go_for_the_gold_standard.pdf,https://viewlightusa.com/wp-content/uploads/2020/01/haagstreit_tonometer-at-900t.jpg,active,false,"7220531, 7200154, 7200033, 1420155, 7200032",at-900-goldmann-7200033,2
1420155,haag-streit,ophthalmology-surgical,AT 900 (goldmann) - 1420155,AT 900 (goldmann) - 1420155,Tonomètre à aplanation gold standard basé sur le principe,Tonometer to aplanation gold standard basé sur the principe,,,https://haag-streit.com/2%20Products/General%20diagnostics/Tonometers/Tonometer%20AT%20900/Brochures/English/HS_at_900_br_7220531_go_for_the_gold_standard.pdf,https://viewlightusa.com/wp-content/uploads/2020/01/haagstreit_tonometer-at-900t.jpg,active,false,"7220531, 7200154, 7200033, 1420155, 7200032",at-900-goldmann-1420155,3
7200032,haag-streit,ophthalmology-surgical,AT 900 (goldmann) - 7200032,AT 900 (goldmann) - 7200032,Tonomètre à aplanation gold standard basé sur le principe,Tonometer to aplanation gold standard basé sur the principe,,,https://haag-streit.com/2%20Products/General%20diagnostics/Tonometers/Tonometer%20AT%20900/Brochures/English/HS_at_900_br_7220531_go_for_the_gold_standard.pdf,https://viewlightusa.com/wp-content/uploads/2020/01/haagstreit_tonometer-at-900t.jpg,active,false,"7220531, 7200154, 7200033, 1420155, 7200032",at-900-goldmann-7200032,4
9001806000,haag-streit,surgery-instruments,Octopus 600 - 9001806000,Octopus 600 - 9001806000,Périmètre automatique compact combinant périmétrie standard blanc-sur-blanc et méthode Pulsar pour détection précoce du glaucome. • Tests de seuil en 2-4 min (stratégie TOP) • Écran TFT sans scintillement avec LED • Tests:,Perimeter automatic compact combinant périmétrie standard blanc-sur-blanc and méthode Pulsar for détection précoce of the glaucoma. • Tests of seuil en 2-4 min (stratégie TOP) • Écran TFT without scintillement with LED • Tests:,,,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Perimetry/Octopus%20600/Brochures/English/HS_octopus_600_br_7220354_perimetry_simplified.pdf,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Perimetry/Octopus%20600/Images/9800/image-thumb__9800__highlightProductsMain/HS_oktopus_600_ci_7220355_smal_central_field_static_perimeter.png,active,false,"9001806000, 7220354, 9001803000, 7220001",octopus-600-9001806000,0
7220354,haag-streit,surgery-instruments,Octopus 600 - 7220354,Octopus 600 - 7220354,Périmètre automatique compact combinant périmétrie standard blanc-sur-blanc et méthode Pulsar pour détection précoce du glaucome. • Tests de seuil en 2-4 min (stratégie TOP) • Écran TFT sans scintillement avec LED • Tests:,Perimeter automatic compact combinant périmétrie standard blanc-sur-blanc and méthode Pulsar for détection précoce of the glaucoma. • Tests of seuil en 2-4 min (stratégie TOP) • Écran TFT without scintillement with LED • Tests:,,,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Perimetry/Octopus%20600/Brochures/English/HS_octopus_600_br_7220354_perimetry_simplified.pdf,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Perimetry/Octopus%20600/Images/9800/image-thumb__9800__highlightProductsMain/HS_oktopus_600_ci_7220355_smal_central_field_static_perimeter.png,active,false,"9001806000, 7220354, 9001803000, 7220001",octopus-600-7220354,1
9001803000,haag-streit,surgery-instruments,Octopus 600 - 9001803000,Octopus 600 - 9001803000,Périmètre automatique compact combinant périmétrie standard blanc-sur-blanc et méthode Pulsar pour détection précoce du glaucome. • Tests de seuil en 2-4 min (stratégie TOP) • Écran TFT sans scintillement avec LED • Tests:,Perimeter automatic compact combinant périmétrie standard blanc-sur-blanc and méthode Pulsar for détection précoce of the glaucoma. • Tests of seuil en 2-4 min (stratégie TOP) • Écran TFT without scintillement with LED • Tests:,,,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Perimetry/Octopus%20600/Brochures/English/HS_octopus_600_br_7220354_perimetry_simplified.pdf,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Perimetry/Octopus%20600/Images/9800/image-thumb__9800__highlightProductsMain/HS_oktopus_600_ci_7220355_smal_central_field_static_perimeter.png,active,false,"9001806000, 7220354, 9001803000, 7220001",octopus-600-9001803000,2
7220001,haag-streit,surgery-instruments,Octopus 600 - 7220001,Octopus 600 - 7220001,Périmètre automatique compact combinant périmétrie standard blanc-sur-blanc et méthode Pulsar pour détection précoce du glaucome. • Tests de seuil en 2-4 min (stratégie TOP) • Écran TFT sans scintillement avec LED • Tests:,Perimeter automatic compact combinant périmétrie standard blanc-sur-blanc and méthode Pulsar for détection précoce of the glaucoma. • Tests of seuil en 2-4 min (stratégie TOP) • Écran TFT without scintillement with LED • Tests:,,,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Perimetry/Octopus%20600/Brochures/English/HS_octopus_600_br_7220354_perimetry_simplified.pdf,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Perimetry/Octopus%20600/Images/9800/image-thumb__9800__highlightProductsMain/HS_oktopus_600_ci_7220355_smal_central_field_static_perimeter.png,active,false,"9001806000, 7220354, 9001803000, 7220001",octopus-600-7220001,3
"5606011 (Set A), 5606013 (Set C)",haag-streit,ophthalmology-surgical,BA 904,BA 904,Seule lampe à fente portable avec optiques Haag-Streit de classe mondiale. • Double fonction: portable ou traditionnelle (avec appui-tête) • Objectifs 10x,Seule slit lamp portable with optiques Haag-Streit of classe mondiale. • double fonction: portable or traditionnelle (with appui-head) • Objectifs 10x,,,https://www.haag-streit.com/fileadmin/Haag-Streit_UK/Downloads/HS_Diagnostics_downloads/Slit_lamps_downloads/BA904_downloads/BA904_IFU.pdf,https://haag-streit.com/1%20Startpage/Images/33048/image-thumb__33048__hompageHeader/HS_startpage_ci_7221085_elara_900~-~media--df42eb16--query.8bbbb7e4.avif,active,false,"5606011 (Set A), 5606013 (Set C)",ba-904,0
5806000A,haag-streit,surgery-instruments,Perkins MK3,Perkins MK3,Tonomètre à aplanation portable gold standard depuis 50+,Tonometer to aplanation portable gold standard depuis 50+,,,https://haag-streit.com/2%20Products/General%20diagnostics/Tonometers/Perkins%20Mk3/Brochures/HS_tonometers_5806001_Perkins_brochure_en.pdf,https://haag-streit.com/2%20Products/General%20diagnostics/Tonometers/Perkins%20Mk3/Images/28855/image-thumb__28855__highlightProductsMain/HS_tonometers_cp_5806001_front.c88d646c.avif,active,false,5806000A,perkins-mk3,0
C-000.32.241,heine,surgery-instruments,Detachable Yellow Filtre pour Loupelight2/microlight2,Detachable Yellow Filter for Loupelight2/microlight2,Detachable yellow filtre pour use avec HEINE LoupeLight2 et MicroLight2 headlights. Reduces blue lumière. pour dental,Detachable yellow filter for use with HEINE LoupeLight2 and MicroLight2 headlights. Reduces blue light. For dental,,,,https://www.heine.com/fileadmin/_processed_/5/f/csm_J-008.31.277-HEINE-Headlight-MicroLight2-additional_cc321197b7.png,active,false,C-000.32.241,heine-c-000-32-241-detachable-yellow,0
C-000.32.302,heine,surgery-instruments,Binoculaire Loupes Accessoires - C-000.32.302,Binocular Loupes Accessories - C-000.32.302,Accessoires pour HR et HRP binoculaire loupes including: S-FRAME avec retaining,Accessories for HR and HRP binocular loupes including: S-FRAME with retaining,,,,https://www.heine.com/fileadmin/_processed_/0/1/csm_C-000.32.356-HEINE-BinocularLoupes-HR2.5x-additional_4da1bc58b7.png,active,false,"C-000.32.302, C-000.32.305, C-000.32.306, C-000.32.307, C-000.32.309, C-000.32.523, C-000.32.537, C-000.32.549, C-000.32.551, C-000.32.027",heine-c-000-32-302-binoculaire-loupes,0
C-000.32.305,heine,surgery-instruments,Binoculaire Loupes Accessoires - C-000.32.305,Binocular Loupes Accessories - C-000.32.305,Accessoires pour HR et HRP binoculaire loupes including: S-FRAME avec retaining,Accessories for HR and HRP binocular loupes including: S-FRAME with retaining,,,,https://www.heine.com/fileadmin/_processed_/0/1/csm_C-000.32.356-HEINE-BinocularLoupes-HR2.5x-additional_4da1bc58b7.png,active,false,"C-000.32.302, C-000.32.305, C-000.32.306, C-000.32.307, C-000.32.309, C-000.32.523, C-000.32.537, C-000.32.549, C-000.32.551, C-000.32.027",heine-c-000-32-305-binoculaire-loupes,1
C-000.32.306,heine,surgery-instruments,Binoculaire Loupes Accessoires - C-000.32.306,Binocular Loupes Accessories - C-000.32.306,Accessoires pour HR et HRP binoculaire loupes including: S-FRAME avec retaining,Accessories for HR and HRP binocular loupes including: S-FRAME with retaining,,,,https://www.heine.com/fileadmin/_processed_/0/1/csm_C-000.32.356-HEINE-BinocularLoupes-HR2.5x-additional_4da1bc58b7.png,active,false,"C-000.32.302, C-000.32.305, C-000.32.306, C-000.32.307, C-000.32.309, C-000.32.523, C-000.32.537, C-000.32.549, C-000.32.551, C-000.32.027",heine-c-000-32-306-binoculaire-loupes,2
C-000.32.307,heine,surgery-instruments,Binoculaire Loupes Accessoires - C-000.32.307,Binocular Loupes Accessories - C-000.32.307,Accessoires pour HR et HRP binoculaire loupes including: S-FRAME avec retaining,Accessories for HR and HRP binocular loupes including: S-FRAME with retaining,,,,https://www.heine.com/fileadmin/_processed_/0/1/csm_C-000.32.356-HEINE-BinocularLoupes-HR2.5x-additional_4da1bc58b7.png,active,false,"C-000.32.302, C-000.32.305, C-000.32.306, C-000.32.307, C-000.32.309, C-000.32.523, C-000.32.537, C-000.32.549, C-000.32.551, C-000.32.027",heine-c-000-32-307-binoculaire-loupes,3
C-000.32.309,heine,surgery-instruments,Binoculaire Loupes Accessoires - C-000.32.309,Binocular Loupes Accessories - C-000.32.309,Accessoires pour HR et HRP binoculaire loupes including: S-FRAME avec retaining,Accessories for HR and HRP binocular loupes including: S-FRAME with retaining,,,,https://www.heine.com/fileadmin/_processed_/0/1/csm_C-000.32.356-HEINE-BinocularLoupes-HR2.5x-additional_4da1bc58b7.png,active,false,"C-000.32.302, C-000.32.305, C-000.32.306, C-000.32.307, C-000.32.309, C-000.32.523, C-000.32.537, C-000.32.549, C-000.32.551, C-000.32.027",heine-c-000-32-309-binoculaire-loupes,4
C-000.32.523,heine,surgery-instruments,Binoculaire Loupes Accessoires - C-000.32.523,Binocular Loupes Accessories - C-000.32.523,Accessoires pour HR et HRP binoculaire loupes including: S-FRAME avec retaining,Accessories for HR and HRP binocular loupes including: S-FRAME with retaining,,,,https://www.heine.com/fileadmin/_processed_/0/1/csm_C-000.32.356-HEINE-BinocularLoupes-HR2.5x-additional_4da1bc58b7.png,active,false,"C-000.32.302, C-000.32.305, C-000.32.306, C-000.32.307, C-000.32.309, C-000.32.523, C-000.32.537, C-000.32.549, C-000.32.551, C-000.32.027",heine-c-000-32-523-binoculaire-loupes,5
C-000.32.537,heine,surgery-instruments,Binoculaire Loupes Accessoires - C-000.32.537,Binocular Loupes Accessories - C-000.32.537,Accessoires pour HR et HRP binoculaire loupes including: S-FRAME avec retaining,Accessories for HR and HRP binocular loupes including: S-FRAME with retaining,,,,https://www.heine.com/fileadmin/_processed_/0/1/csm_C-000.32.356-HEINE-BinocularLoupes-HR2.5x-additional_4da1bc58b7.png,active,false,"C-000.32.302, C-000.32.305, C-000.32.306, C-000.32.307, C-000.32.309, C-000.32.523, C-000.32.537, C-000.32.549, C-000.32.551, C-000.32.027",heine-c-000-32-537-binoculaire-loupes,6
C-000.32.549,heine,surgery-instruments,Binoculaire Loupes Accessoires - C-000.32.549,Binocular Loupes Accessories - C-000.32.549,Accessoires pour HR et HRP binoculaire loupes including: S-FRAME avec retaining,Accessories for HR and HRP binocular loupes including: S-FRAME with retaining,,,,https://www.heine.com/fileadmin/_processed_/0/1/csm_C-000.32.356-HEINE-BinocularLoupes-HR2.5x-additional_4da1bc58b7.png,active,false,"C-000.32.302, C-000.32.305, C-000.32.306, C-000.32.307, C-000.32.309, C-000.32.523, C-000.32.537, C-000.32.549, C-000.32.551, C-000.32.027",heine-c-000-32-549-binoculaire-loupes,7
C-000.32.551,heine,surgery-instruments,Binoculaire Loupes Accessoires - C-000.32.551,Binocular Loupes Accessories - C-000.32.551,Accessoires pour HR et HRP binoculaire loupes including: S-FRAME avec retaining,Accessories for HR and HRP binocular loupes including: S-FRAME with retaining,,,,https://www.heine.com/fileadmin/_processed_/0/1/csm_C-000.32.356-HEINE-BinocularLoupes-HR2.5x-additional_4da1bc58b7.png,active,false,"C-000.32.302, C-000.32.305, C-000.32.306, C-000.32.307, C-000.32.309, C-000.32.523, C-000.32.537, C-000.32.549, C-000.32.551, C-000.32.027",heine-c-000-32-551-binoculaire-loupes,8
C-000.32.027,heine,surgery-instruments,Binoculaire Loupes Accessoires - C-000.32.027,Binocular Loupes Accessories - C-000.32.027,Accessoires pour HR et HRP binoculaire loupes including: S-FRAME avec retaining,Accessories for HR and HRP binocular loupes including: S-FRAME with retaining,,,,https://www.heine.com/fileadmin/_processed_/0/1/csm_C-000.32.356-HEINE-BinocularLoupes-HR2.5x-additional_4da1bc58b7.png,active,false,"C-000.32.302, C-000.32.305, C-000.32.306, C-000.32.307, C-000.32.309, C-000.32.523, C-000.32.537, C-000.32.549, C-000.32.551, C-000.32.027",heine-c-000-32-027-binoculaire-loupes,9
C-000.32.350,heine,surgery-instruments,HR 2.5x High Résolution Binoculaire Loupes - C-000.32.350,HR 2.5x High Resolution Binocular Loupes - C-000.32.350,High résolution binoculaire loupes avec,High resolution binocular loupes with,,,,https://www.heine.com/fileadmin/_processed_/0/1/csm_C-000.32.356-HEINE-BinocularLoupes-HR2.5x-additional_4da1bc58b7.png,active,false,"C-000.32.350, C-000.32.355, C-000.32.356, C-000.32.357, C-000.32.366, C-000.32.367",heine-c-000-32-350-hr-2-5x,0
C-000.32.355,heine,surgery-instruments,HR 2.5x High Résolution Binoculaire Loupes - C-000.32.355,HR 2.5x High Resolution Binocular Loupes - C-000.32.355,High résolution binoculaire loupes avec,High resolution binocular loupes with,,,,https://www.heine.com/fileadmin/_processed_/0/1/csm_C-000.32.356-HEINE-BinocularLoupes-HR2.5x-additional_4da1bc58b7.png,active,false,"C-000.32.350, C-000.32.355, C-000.32.356, C-000.32.357, C-000.32.366, C-000.32.367",heine-c-000-32-355-hr-2-5x,1
C-000.32.356,heine,surgery-instruments,HR 2.5x High Résolution Binoculaire Loupes - C-000.32.356,HR 2.5x High Resolution Binocular Loupes - C-000.32.356,High résolution binoculaire loupes avec,High resolution binocular loupes with,,,,https://www.heine.com/fileadmin/_processed_/0/1/csm_C-000.32.356-HEINE-BinocularLoupes-HR2.5x-additional_4da1bc58b7.png,active,false,"C-000.32.350, C-000.32.355, C-000.32.356, C-000.32.357, C-000.32.366, C-000.32.367",heine-c-000-32-356-hr-2-5x,2
C-000.32.357,heine,surgery-instruments,HR 2.5x High Résolution Binoculaire Loupes - C-000.32.357,HR 2.5x High Resolution Binocular Loupes - C-000.32.357,High résolution binoculaire loupes avec,High resolution binocular loupes with,,,,https://www.heine.com/fileadmin/_processed_/0/1/csm_C-000.32.356-HEINE-BinocularLoupes-HR2.5x-additional_4da1bc58b7.png,active,false,"C-000.32.350, C-000.32.355, C-000.32.356, C-000.32.357, C-000.32.366, C-000.32.367",heine-c-000-32-357-hr-2-5x,3
C-000.32.366,heine,surgery-instruments,HR 2.5x High Résolution Binoculaire Loupes - C-000.32.366,HR 2.5x High Resolution Binocular Loupes - C-000.32.366,High résolution binoculaire loupes avec,High resolution binocular loupes with,,,,https://www.heine.com/fileadmin/_processed_/0/1/csm_C-000.32.356-HEINE-BinocularLoupes-HR2.5x-additional_4da1bc58b7.png,active,false,"C-000.32.350, C-000.32.355, C-000.32.356, C-000.32.357, C-000.32.366, C-000.32.367",heine-c-000-32-366-hr-2-5x,4
C-000.32.367,heine,surgery-instruments,HR 2.5x High Résolution Binoculaire Loupes - C-000.32.367,HR 2.5x High Resolution Binocular Loupes - C-000.32.367,High résolution binoculaire loupes avec,High resolution binocular loupes with,,,,https://www.heine.com/fileadmin/_processed_/0/1/csm_C-000.32.356-HEINE-BinocularLoupes-HR2.5x-additional_4da1bc58b7.png,active,false,"C-000.32.350, C-000.32.355, C-000.32.356, C-000.32.357, C-000.32.366, C-000.32.367",heine-c-000-32-367-hr-2-5x,5
C-000.32.440,heine,surgery-instruments,HRP High Résolution Prismatic Binoculaire Loupes - C-000.32.440,HRP High Resolution Prismatic Binocular Loupes - C-000.32.440,High résolution prismatic binoculaire loupes available in 3.,High resolution prismatic binocular loupes available in 3.,,,,https://www.heine.com/fileadmin/_processed_/c/a/csm_C-000.32.430-HEINE-BinocularLoupes-HRP3.5x-additional_11e3ba63d5.png,active,false,"C-000.32.440, C-000.32.441, C-000.32.444, C-000.32.445, C-000.32.450, C-000.32.455, C-000.32.460, C-000.32.461, C-000.32.464, C-000.32.465, C-000.32.470, C-000.32.475, C-000.32.440A, C-000.32.441A, C-000.32.444A, C-000.32.445A, C-000.32.450A, C-000.32.455A, C-000.32.460A, C-000.32.461A, C-000.32.464A, C-000.32.465A, C-000.32.470A, C-000.32.475A, C-000.32.430, C-000.32.431, C-000.32.434, C-000.32.435",heine-c-000-32-440-hrp-high,0
C-000.32.441,heine,surgery-instruments,HRP High Résolution Prismatic Binoculaire Loupes - C-000.32.441,HRP High Resolution Prismatic Binocular Loupes - C-000.32.441,High résolution prismatic binoculaire loupes available in 3.,High resolution prismatic binocular loupes available in 3.,,,,https://www.heine.com/fileadmin/_processed_/c/a/csm_C-000.32.430-HEINE-BinocularLoupes-HRP3.5x-additional_11e3ba63d5.png,active,false,"C-000.32.440, C-000.32.441, C-000.32.444, C-000.32.445, C-000.32.450, C-000.32.455, C-000.32.460, C-000.32.461, C-000.32.464, C-000.32.465, C-000.32.470, C-000.32.475, C-000.32.440A, C-000.32.441A, C-000.32.444A, C-000.32.445A, C-000.32.450A, C-000.32.455A, C-000.32.460A, C-000.32.461A, C-000.32.464A, C-000.32.465A, C-000.32.470A, C-000.32.475A, C-000.32.430, C-000.32.431, C-000.32.434, C-000.32.435",heine-c-000-32-441-hrp-high,1
C-000.32.444,heine,surgery-instruments,HRP High Résolution Prismatic Binoculaire Loupes - C-000.32.444,HRP High Resolution Prismatic Binocular Loupes - C-000.32.444,High résolution prismatic binoculaire loupes available in 3.,High resolution prismatic binocular loupes available in 3.,,,,https://www.heine.com/fileadmin/_processed_/c/a/csm_C-000.32.430-HEINE-BinocularLoupes-HRP3.5x-additional_11e3ba63d5.png,active,false,"C-000.32.440, C-000.32.441, C-000.32.444, C-000.32.445, C-000.32.450, C-000.32.455, C-000.32.460, C-000.32.461, C-000.32.464, C-000.32.465, C-000.32.470, C-000.32.475, C-000.32.440A, C-000.32.441A, C-000.32.444A, C-000.32.445A, C-000.32.450A, C-000.32.455A, C-000.32.460A, C-000.32.461A, C-000.32.464A, C-000.32.465A, C-000.32.470A, C-000.32.475A, C-000.32.430, C-000.32.431, C-000.32.434, C-000.32.435",heine-c-000-32-444-hrp-high,2
C-000.32.445,heine,surgery-instruments,HRP High Résolution Prismatic Binoculaire Loupes - C-000.32.445,HRP High Resolution Prismatic Binocular Loupes - C-000.32.445,High résolution prismatic binoculaire loupes available in 3.,High resolution prismatic binocular loupes available in 3.,,,,https://www.heine.com/fileadmin/_processed_/c/a/csm_C-000.32.430-HEINE-BinocularLoupes-HRP3.5x-additional_11e3ba63d5.png,active,false,"C-000.32.440, C-000.32.441, C-000.32.444, C-000.32.445, C-000.32.450, C-000.32.455, C-000.32.460, C-000.32.461, C-000.32.464, C-000.32.465, C-000.32.470, C-000.32.475, C-000.32.440A, C-000.32.441A, C-000.32.444A, C-000.32.445A, C-000.32.450A, C-000.32.455A, C-000.32.460A, C-000.32.461A, C-000.32.464A, C-000.32.465A, C-000.32.470A, C-000.32.475A, C-000.32.430, C-000.32.431, C-000.32.434, C-000.32.435",heine-c-000-32-445-hrp-high,3
C-000.32.450,heine,surgery-instruments,HRP High Résolution Prismatic Binoculaire Loupes - C-000.32.450,HRP High Resolution Prismatic Binocular Loupes - C-000.32.450,High résolution prismatic binoculaire loupes available in 3.,High resolution prismatic binocular loupes available in 3.,,,,https://www.heine.com/fileadmin/_processed_/c/a/csm_C-000.32.430-HEINE-BinocularLoupes-HRP3.5x-additional_11e3ba63d5.png,active,false,"C-000.32.440, C-000.32.441, C-000.32.444, C-000.32.445, C-000.32.450, C-000.32.455, C-000.32.460, C-000.32.461, C-000.32.464, C-000.32.465, C-000.32.470, C-000.32.475, C-000.32.440A, C-000.32.441A, C-000.32.444A, C-000.32.445A, C-000.32.450A, C-000.32.455A, C-000.32.460A, C-000.32.461A, C-000.32.464A, C-000.32.465A, C-000.32.470A, C-000.32.475A, C-000.32.430, C-000.32.431, C-000.32.434, C-000.32.435",heine-c-000-32-450-hrp-high,4
C-000.32.455,heine,surgery-instruments,HRP High Résolution Prismatic Binoculaire Loupes - C-000.32.455,HRP High Resolution Prismatic Binocular Loupes - C-000.32.455,High résolution prismatic binoculaire loupes available in 3.,High resolution prismatic binocular loupes available in 3.,,,,https://www.heine.com/fileadmin/_processed_/c/a/csm_C-000.32.430-HEINE-BinocularLoupes-HRP3.5x-additional_11e3ba63d5.png,active,false,"C-000.32.440, C-000.32.441, C-000.32.444, C-000.32.445, C-000.32.450, C-000.32.455, C-000.32.460, C-000.32.461, C-000.32.464, C-000.32.465, C-000.32.470, C-000.32.475, C-000.32.440A, C-000.32.441A, C-000.32.444A, C-000.32.445A, C-000.32.450A, C-000.32.455A, C-000.32.460A, C-000.32.461A, C-000.32.464A, C-000.32.465A, C-000.32.470A, C-000.32.475A, C-000.32.430, C-000.32.431, C-000.32.434, C-000.32.435",heine-c-000-32-455-hrp-high,5
C-000.32.460,heine,surgery-instruments,HRP High Résolution Prismatic Binoculaire Loupes - C-000.32.460,HRP High Resolution Prismatic Binocular Loupes - C-000.32.460,High résolution prismatic binoculaire loupes available in 3.,High resolution prismatic binocular loupes available in 3.,,,,https://www.heine.com/fileadmin/_processed_/c/a/csm_C-000.32.430-HEINE-BinocularLoupes-HRP3.5x-additional_11e3ba63d5.png,active,false,"C-000.32.440, C-000.32.441, C-000.32.444, C-000.32.445, C-000.32.450, C-000.32.455, C-000.32.460, C-000.32.461, C-000.32.464, C-000.32.465, C-000.32.470, C-000.32.475, C-000.32.440A, C-000.32.441A, C-000.32.444A, C-000.32.445A, C-000.32.450A, C-000.32.455A, C-000.32.460A, C-000.32.461A, C-000.32.464A, C-000.32.465A, C-000.32.470A, C-000.32.475A, C-000.32.430, C-000.32.431, C-000.32.434, C-000.32.435",heine-c-000-32-460-hrp-high,6
C-000.32.461,heine,surgery-instruments,HRP High Résolution Prismatic Binoculaire Loupes - C-000.32.461,HRP High Resolution Prismatic Binocular Loupes - C-000.32.461,High résolution prismatic binoculaire loupes available in 3.,High resolution prismatic binocular loupes available in 3.,,,,https://www.heine.com/fileadmin/_processed_/c/a/csm_C-000.32.430-HEINE-BinocularLoupes-HRP3.5x-additional_11e3ba63d5.png,active,false,"C-000.32.440, C-000.32.441, C-000.32.444, C-000.32.445, C-000.32.450, C-000.32.455, C-000.32.460, C-000.32.461, C-000.32.464, C-000.32.465, C-000.32.470, C-000.32.475, C-000.32.440A, C-000.32.441A, C-000.32.444A, C-000.32.445A, C-000.32.450A, C-000.32.455A, C-000.32.460A, C-000.32.461A, C-000.32.464A, C-000.32.465A, C-000.32.470A, C-000.32.475A, C-000.32.430, C-000.32.431, C-000.32.434, C-000.32.435",heine-c-000-32-461-hrp-high,7
